Well,Organism,Condition
A1,Mari,NH
A2,Mari,NH
A3,Mari,NH
A4,Mari,NO
A5,Mari,NO
A6,Mari,NO
A7,Mari,NoN
A8,Mari,NoNC
B1,Vib,NH
B2,Vib,NH
B3,Vib,NH
B4,Vib,NO
B5,Vib,NO
B6,Vib,NO
B7,Vib,NoN
B8,Blank,
C1,Rpom,NH
C2,Rpom,NH
C3,Rpom,NH
C4,Rpom,NO
C5,Rpom,NO
C6,Rpom,NO
C7,Rpom,NoN
C8,Blank,
