Well,Organism,Condition
E8,Blank,Spermidine
F8,Blank,Spermidine
G8,Blank,Spermidine
H8,Blank,Spermidine
E2,Rpom,Spermidine
F2,Rpom,Spermidine
G2,Rpom,Spermidine
H2,Rpom,Spermidine
E4,Mari,Spermidine
F4,Mari,Spermidine
G4,Mari,Spermidine
H4,Mari,Spermidine
E6,Vib,Spermidine
F6,Vib,Spermidine
G6,Vib,Spermidine
H6,Vib,Spermidine
