"spo","w_1_rpomAlone","w_2_rpomAlone","w_3_rpomAlone","w_4_rpomAlone","w_1_vib","w_2_vib","w_3_vib","w_4_vib","w_1_mari","w_2_mari","w_3_mari","w_4_mari","w_1_CC","w_2_CC","w_3_CC","w_4_CC"
"SPO_Sp16SA",0.96,0.97,0.96,0.98,1,1,1,1,1.1,1.1,1,1,1,1.1,1.1,1.1
"SPO_Sp16SB",0.95,0.97,0.96,0.98,1,1.1,1,1,1.1,1.1,1,1,1,1.1,1.1,1.1
"SPO_Sp16SC",0.95,0.97,0.96,0.98,1,1.1,1,1,1,1.1,1,1,1,1.1,1.1,1.1
"SPO_Sp23SA",0.95,0.97,0.96,0.96,1,1,1,1,1,1,1,1,1,1,1,1
"SPO_Sp23SB",0.96,0.97,0.96,0.96,1,1,1,1,1,1,1,1,1,1,1,1
"SPO_Sp5SD",1,0.99,0.98,1,1,1,1,1,1,1,1,1,1,1,1,1
"SPO_Sp5SE",0.96,0.97,1,0.98,0.99,1,1,1,1,1,1,1,0.98,1,1,1
"SPO_Sp5SF",0.93,0.96,0.99,0.96,0.99,1,1.1,1,1,1,1,1,0.97,1,1,1
"SPO0001",0.71,0.84,0.85,0.9,0.79,0.74,0.84,0.78,0.79,0.8,0.82,0.82,0.82,0.74,0.8,0.92
"SPO0002",0.98,1.1,1,0.99,1,1.1,1.1,1,1,1.1,1.1,1.1,1,1.1,1,1.1
"SPO0003",NA,0.71,0.92,NA,NA,1,0,NA,NA,0,0,NA,NA,0.36,0,NA
"SPO0004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPO0005",1.1,1,1.1,1.1,1,1,1.1,1.1,1,1,1.1,1,1,1.1,1.1,1
"SPO0006",0.99,1,1,1.1,1,0.98,1,1,1,1,1,1,1,1,1,1
"SPO0007",1.1,1,1.1,0.99,0.98,1,1,1,0.99,1,1,1,1,1.1,1,1
"SPO0008",1,0.96,0.97,0.99,0.96,0.96,0.97,0.95,1,0.97,1,0.98,0.98,1,0.92,0.96
"SPO0009",0.97,0.89,1,0.95,0.97,0.91,0.97,0.97,0.98,0.93,1,0.95,0.92,0.97,0.99,0.94
"SPO0010",0,0.79,0.65,0,0,0,0,0,0,0.72,0.52,1,0,0,0,0
"SPO0011",0.99,0.98,1,0.99,1,0.97,1,0.97,1,1,1,0.98,1,1,0.97,0.97
"SPO0012",1.1,1,1,0.99,1.1,1,1,1,1.1,1,1,1,1.1,1,1,1
"SPO0013",0.96,0.99,1.1,0.99,0.95,0.98,1,1,0.95,1,1,0.97,0.96,1,1,0.99
"SPO0014",0.99,1,0.94,0.99,1,1,0.98,0.99,1,1,0.99,0.98,1,1,0.99,0.97
"SPO0015",1,1.1,1,0.99,0.97,1,1,0.99,0.99,1,1,1,1,1.1,0.99,1
"SPO0016",0.99,1,0.98,0.93,1,0.98,1,1.1,1,0.96,0.99,1,1,0.98,0.94,0.99
"SPO0017",1,1,1,1,1,1.1,0.99,1,1,1,1,1,1,0.97,0.99,1
"SPO0018",0,0,0,0,0,0.38,0,0,0,0,0.15,0.12,0,0,0.26,0.22
"SPO0019",0.94,0.98,1,0.97,1,0.97,0.98,0.95,0.96,0.98,0.99,0.97,1,0.99,1,0.97
"SPO0020",1,1,1,1,0.99,1,1,1,0.99,1,1,1,1,1,1,1
"SPO0021",0.93,0.91,0.9,0.96,0.98,0.96,0.94,0.96,0.95,0.92,0.95,0.97,0.94,0.93,0.95,0.97
"SPO0022",0.97,0.99,1,1,1,0.99,0.96,0.96,0.98,1,1,1,0.97,0.98,0.94,0.99
"SPO0023",1.1,1,1,0.99,1,1.1,1.1,0.99,0.99,1,1,1,1,1,0.99,0.98
"SPO0024",0.88,0.93,0.89,0.95,0.91,0.92,0.92,0.94,0.92,0.92,0.93,0.95,0.93,0.91,0.93,0.95
"SPO0025",1.1,1,1,0.96,1,0.99,0.99,0.97,0.99,0.99,1,1,1.1,1,0.96,1
"SPO0026",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPO0027",0.98,0.98,0.98,1,0.99,0.96,0.98,0.98,0.98,1,1,0.99,1,0.99,0.98,1
"SPO0028",0.96,0.99,1,1,0.96,1,0.99,1,0.97,0.99,1,0.99,0.95,1,0.99,1
"SPO0029",1.1,1.1,1.1,0.99,1,1,1,1,0.99,1.1,1.1,1,0.98,1,1,1
"SPO0030",1.1,1,1,0.99,1,1,1,0.99,1,1,1,1,1,1.1,1,1
"SPO0031",1.1,1,1.1,1,1,1,1,1,1,1,1.1,1,1,0.99,1,0.96
"SPO0033",1.1,1,1,1,0.99,1,1,1,1.1,1,1,1,1,1,1,1
"SPO0034",1,0.96,0.99,1,0.98,0.98,0.97,1,1,0.98,1,0.98,0.95,0.96,0.99,1
"SPO0035",1,0.99,1,0.97,1,0.98,1,0.98,0.99,0.96,1,0.98,1,0.95,1,0.98
"SPO0036",0.98,1,0.98,0.98,0.98,0.99,0.96,0.98,0.98,0.98,0.99,0.98,1,0.99,0.97,0.98
"SPO0037",1,1,0.98,0.98,0.98,0.99,0.98,0.97,0.99,1,1,0.99,1,1,0.99,0.98
"SPO0038",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPO0039",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPO0040",0.98,1,0.99,1,1,1,1,1,1,1,0.98,1,1,1,1,1
"SPO0041",1.1,1.1,1,1,1,1,0.98,1,1.1,1,1,1,1.1,1,0.95,0.99
"SPO0042",1.1,1,1,0.96,1,0.97,1,0.95,0.99,0.99,1,0.99,1,1,1,1
"SPO0043",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPO0044",1.1,0.75,0.88,1,0.76,0.8,0.88,0.98,0.97,1,0.81,0.91,0.85,0.71,0.79,1.1
"SPO0045",1,0.96,1,0.95,1,1,1,1,1.1,0.95,0.98,1,1,1,1,1
"SPO0046",0.95,0.91,0.91,0.92,0.92,0.99,0.89,0.9,0.97,0.92,0.96,0.95,0.97,0.95,0.91,1
"SPO0046a",0.89,1.1,1.1,0.89,0.96,0.93,1.1,1,0.94,1,1.1,0.88,0.94,1,1.1,0.96
"SPO0047",0.93,0.84,0.94,1,0.92,0.89,0.97,0.99,0.99,0.9,0.96,0.95,1,0.92,0.97,1
"SPO0048",0.99,0.95,0.96,1.1,1,0.91,0.95,1,0.89,0.93,0.96,1,0.96,0.94,1,1.1
"SPO0049",1,0.99,0.98,1,1,1,1,0.94,0.97,0.95,0.97,0.98,0.97,0.93,1,0.99
"SPO0050",0.95,0.94,1,0.93,0.98,0.92,0.99,0.99,0.95,0.98,0.92,0.98,1,0.95,0.99,1
"SPO0051",1,0.95,1,0.97,0.98,1,1,0.98,0.98,0.98,0.97,0.99,1,0.95,0.99,0.97
"SPO0052",1.1,0.94,0.99,1,0.92,0.96,1,1,1,1,0.97,1,1,1,1.1,0.98
"SPO0053",1.1,1,0.93,0.94,0.97,0.99,0.95,0.94,1,0.98,0.99,1,1,0.97,0.96,0.98
"SPO0054",0.91,1,0.99,0.96,0.99,0.91,0.9,0.99,0.94,0.96,0.98,0.99,1,1,0.99,0.98
"SPO0055",1.1,1,1.1,1,1,1,1,1,1,1,1,1,1,0.95,0.98,1
"SPO0056",1,1.1,1,1.1,1,0.99,0.99,1,1,1,1,1,0.99,0.96,1,1
"SPO0057",1.6,0.96,1,0,NA,0.83,0,0.9,NA,0.82,0.67,1.2,NA,0.41,0.87,1.1
"SPO0058",1,1,1,1,1,0.95,1,1.1,1,1,1,1,1,1,1.1,1.1
"SPO0059",0.95,0.95,0.99,0.98,0.94,0.9,1,1,1,0.98,0.99,0.98,1,0.97,1.1,1
"SPO0060",1,1.1,1.1,1,1.1,1.1,1.1,1,1,1.1,1.1,1.1,1,1.1,1.1,1
"SPO0061",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPO0062",0,0.7,1.1,0,0,0.87,1.2,0,0,0.75,0.82,0,0,0,0.93,1
"SPO0063",0,0.56,0,0,0,0,1.2,0.83,0.82,0,0.88,0.75,0,0,1,0
"SPO0064",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPO0065",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPO0066",0.94,0.99,0.96,0.99,0.96,0.96,0.99,0.97,0.93,0.97,0.93,0.9,0.97,0.98,0.97,0.96
"SPO0067",0.84,0.86,0.9,0.92,1,0.75,1,0.87,0.89,0.79,0.95,1,1.2,0.79,1.1,1
"SPO0068",1,1,0.97,1.1,0.92,1,0.85,0.87,0.99,0.97,0.9,0.95,0.92,0.98,0.96,0.84
"SPO0069",1,1,1,0.99,0.91,1,0.96,0.96,1,1,1,0.98,1,0.99,0.99,1
"SPO0070",0.93,1,1,1,0.93,0.99,0.95,1.1,0.99,0.98,0.99,1,0.96,1,0.98,1
"SPO0071",1.1,1.1,1,1.1,0.97,1,0.88,1,0.98,1.1,0.94,0.97,0.81,0.96,0.96,0.95
"SPO0072",1,0.75,1,0.84,0.92,0.78,1.1,1.1,0.98,0.76,0.93,0.54,1.1,0,1.1,1.1
"SPO0074",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPO0075",1.1,1.1,1.1,1,1.1,1.1,1.1,1,1.1,1,1.1,1,1.1,1,1.1,1
"SPO0077",0.97,1,0.91,0.96,0.92,0.9,0.84,0.95,0.95,0.88,0.88,0.92,0.97,0.91,0.86,0.95
"SPO0078",1.1,1.1,1.1,1.1,1,1,1,1,1,1.1,1.1,1.1,0.97,1,1,1
"SPO0079",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPO0080",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPO0081",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPO0082",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPO0084",1.1,1,1.1,1.1,1,1,1,1,1,1,1,1,1,0.98,1,1.1
"SPO0085",0.84,0.77,0.99,0.94,1,0.87,0.98,0.82,0.84,0.85,0.97,0.98,1,0.92,1,0.95
"SPO0086",1.1,1,1,1,1,1.1,1,1,1,1,1,1,1,1,1,1
"SPO0087",1,1,1,0.96,0.97,1,0.99,0.96,1,1,1,1,0.96,1,0.97,0.97
"SPO0088",1,1,0.92,1.1,0.98,1,1,1,0.97,0.97,1,1,1,1,0.96,1
"SPO0089",1.1,1,0.99,1,0.98,1,1,1,0.96,0.98,1,1,0.98,0.96,1,0.94
"SPO0090",1,0.95,1,0.97,0.97,0.94,1,0.97,0.99,0.94,1,1,0.95,0.96,1,0.93
"SPO0091",1,1,0.99,1,1.1,1.1,1.1,1,1,1,1,1,1,1,1,0.99
"SPO0092",1,0.99,0.99,0.83,1,0.95,0.87,0.9,1,0.95,0.97,0.93,1,1,0.98,0.97
"SPO0093",0.93,0.94,1.1,1.1,0.98,1,1.1,1,1,1,1,1,1.1,1,0.99,0.99
"SPO0094",1,0.99,0.99,0.95,1,0.97,0.91,0.97,0.97,0.94,0.94,0.96,1,1,0.97,0.97
"SPO0095",0.89,0.84,0.91,0.91,0.96,0.96,0.92,0.99,0.96,0.96,0.98,0.94,0.97,0.95,0.96,0.86
"SPO0096",0.97,0.9,1.1,0.96,0.9,0.91,1.1,1,1,0.93,1,1,0.97,0.96,1,1
"SPO0097",0.97,1,1,0.99,0.97,0.99,0.99,0.97,0.99,0.99,1,0.93,0.96,1,1,0.97
"SPO0098",0.94,0.97,0.94,0.97,0.96,0.94,0.94,0.91,0.97,0.98,0.96,0.92,0.98,0.97,0.9,0.94
"SPO0099",1,0.91,0.94,0.96,0.95,0.96,1,0.94,0.94,0.95,1,0.94,1,0.96,1,0.93
"SPO0100",1.1,1,0.9,1,1.1,0.95,1,0.96,1.1,1,1,1,1.1,0.99,1,0.99
"SPO0101",0.98,0.98,0.97,1,1,0.96,1,1,0.97,0.97,1,0.99,0.98,1,1,0.98
"SPO0102",0.82,0.73,0.75,0.67,0.99,1,1,0.97,1,0.99,1,0.96,1,1,0.96,1
"SPO0103",0.76,0.73,0.8,0.76,0.93,1.1,1.1,1,0.99,1,1,1.1,0.91,1.1,1.1,1
"SPO0104",1,1,1,0.98,0.99,1,1,0.99,1,1,1,1,0.97,1,0.99,1
"SPO0105",1.1,0.98,0.94,0.97,1,1,0.95,0.97,1,1,0.95,0.98,1,0.96,0.97,1
"SPO0106",1,1,1,1,1,0.98,1,1,1,0.98,1,1,1,0.99,1,1
"SPO0107",1,1,1.1,1,0.97,1,1.1,1,1,1,1,1,0.98,0.98,1,0.98
"SPO0108",0.86,1,0.95,1.1,0.96,0.98,0.98,1.1,0.91,1,0.91,0.93,0.97,0.97,0.93,1.1
"SPO0109",1,1,1,0.99,1,1,0.99,0.98,1,0.99,1,1,1,0.99,1,1
"SPO0110",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"SPO0111",1.1,1.1,1,1,1,1,1,1,1,1,1,1,1.1,1,1,1
"SPO0112",1,1,1,1.1,1,1,1,1,1,1,1,1,1,1,1,1
"SPO0113",1,0.98,1,1,1,1,1,1,0.99,1,1,1.1,1,1,1,1
"SPO0114",1,1.1,1.1,1,0.95,1.1,1,1.1,1,1.1,0.97,1.1,0.96,1,0.99,1.1
"SPO0115",1,0.99,1,0.99,1,1,0.97,1,0.99,1,0.98,1,0.97,0.98,0.98,1
"SPO0116",0.96,1,1,1,0.99,1,1,1,0.99,1,1,1,1,1,1,1
"SPO0118",0.93,0.94,0.93,0.96,0.95,0.94,0.95,0.95,0.94,0.95,0.95,0.96,1,0.96,0.93,0.94
"SPO0119",1,1.1,1.1,0.98,0.93,1.1,1.1,1,0.94,1.1,1.1,1.1,0.93,1.2,1.1,1
"SPO0120",0.93,1,0.99,0.99,0.97,1,1,1,0.96,1,1,0.99,0.98,1,1.1,1
"SPO0122",1.1,1.1,0.95,0.98,1.1,0.96,0.95,0.98,1.1,1,0.91,0.95,1.1,0.96,0.98,1
"SPO0123",0.98,0.91,0.99,0.91,1,0.99,1,0.98,0.96,0.98,1,1,1,0.97,0.97,0.98
"SPO0124",1.1,1.1,1,1.1,1,1,1,1,1,1,1,1,1,1,1,1
"SPO0125",1.1,1,1,1,0.9,1,1,0.97,0.95,1,1.1,1,0.92,1,1.1,1
"SPO0126",1,1,1,1,0.99,1.1,1.1,1.1,1,1,1,1,0.96,1.1,1,1.1
"SPO0127",1.3,0.91,0.89,1.2,1.2,0.82,0.85,1.2,1.2,1,1,1.2,1.1,1,1.1,1.2
"SPO0128",1,1,1,0.96,1,1,0.99,0.97,1.1,0.99,0.99,0.98,1.1,1,0.98,1
"SPO0129",1.1,1,0.95,0.95,1.1,1.1,1,1,1.1,1,1,1,1,1.1,1.1,0.96
"SPO0130",0.96,0.97,0.83,0.86,0.92,0.97,0.84,0.89,0.91,0.98,0.88,0.92,0.88,1,0.91,0.89
"SPO0131",1.2,1.1,1.1,1,1.1,1.1,1,1.1,1.1,1.1,1.1,0.97,1.1,1.2,0.99,0.94
"SPO0132",0.93,0.93,0.94,0.93,0.96,0.96,0.96,0.95,0.98,0.95,0.96,0.94,0.97,0.94,1,0.92
"SPO0133",1.1,1,0.98,1,0.98,1,1,1,1,0.99,0.98,1,0.97,0.99,0.95,1
"SPO0134",1.2,0.86,1,1.1,1.2,1.1,1.1,0.94,1.2,0.94,1.1,0.97,1.2,1.1,1.1,1.2
"SPO0135",1.1,1,1.1,0.92,0.94,0.97,0.96,0.99,0.97,1,0.98,0.91,0.95,1,1,0.97
"SPO0136",0.97,1.1,1,1,0.94,1,1,1,0.95,1,0.96,0.99,0.98,1,0.96,0.98
"SPO0137",1,1,1,1,0.99,1,1,0.97,1,0.98,0.97,1,1.1,1,1,0.98
"SPO0138",0.93,0.92,0.98,0.95,0.95,1,1,0.94,0.94,0.96,0.97,0.96,1.1,0.9,1,0.95
"SPO0139",0.98,0.99,0.96,0.99,0.99,0.98,0.92,0.98,1,0.98,0.95,1,0.94,0.99,0.98,1
"SPO0140",0.93,0.95,0.95,0.96,0.95,1.1,0.95,0.89,0.92,1,0.92,0.97,0.94,1,0.96,0.94
"SPO0141",1,0.89,0.89,0.98,0.98,0.92,0.89,1.1,0.98,0.85,0.86,0.93,1.2,0.94,0.89,0.93
"SPO0142",1.1,0.94,0.99,1,0.99,0.98,1,0.99,1,1,1,1,1,1,0.97,1
"SPO0143",0.97,0.96,0.93,0.95,0.95,0.9,0.95,0.95,0.89,0.96,1,0.91,0.98,0.99,0.92,0.97
"SPO0144",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4,NA,NA
"SPO0146",1,1.1,1.1,1.1,1,1,1.1,1,1,1,1.1,1,0.95,0.98,1.1,1
"SPO0147",0.65,0,0.58,0.77,0.86,0.89,0,0.63,0,0.28,0.82,0.77,0.76,0.73,0.7,0.93
"SPO0149",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPO0150",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPO0151",0.96,0.92,0.95,0.94,0.94,0.97,0.96,0.96,0.98,0.95,1,0.94,0.91,0.96,0.97,0.95
"SPO0152",1,0.96,0.97,0.99,0.99,0.97,0.99,0.99,0.99,0.99,0.98,1,0.95,1,0.92,0.94
"SPO0153",0.77,0.79,0.85,0.82,0.86,0.83,0.9,0.9,0.98,0.86,0.85,0.79,0.94,0.82,0.84,0.77
"SPO0154",1,0.97,0.92,0.99,1,1,1,1,1.1,0.98,1,1,1,1,0.96,0.98
"SPO0155",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPO0156",0.97,0.99,1,0.99,1,1,1,0.99,0.99,1,1,1,0.97,1,1,1
"SPO0157",1,0.99,1,1,1,1,0.98,1,0.98,1,1,1,1,1,0.98,0.98
"SPO0160",1.1,1.1,1,1.1,1.1,1,1,1,1,1,1,1,1.1,1.1,1,1
"SPO0161",1,0.95,0.96,0.99,1,0.99,0.99,0.97,0.99,1,0.96,0.98,1,1,0.92,1
"SPO0162",0.97,1.1,0.9,0.99,0.86,0.98,0.92,1.1,1,0.94,0.94,0.98,0.97,1,0.91,0.95
"SPO0163",0.92,0.91,0.96,0.97,0.98,0.96,1.1,0.96,0.98,0.96,0.97,0.97,0.99,0.98,0.94,0.93
"SPO0164",0.99,0.88,0.98,0.95,1,0.83,0.99,0.98,1,0.95,0.98,0.98,0.92,0.97,0.96,0.96
"SPO0165",0.89,1,0.96,1.1,0.99,1,1,0.97,0.88,0.99,0.92,1,0.92,1.1,0.89,0.98
"SPO0166",1.1,0.9,0.96,1,0.97,0.98,0.94,0.95,1,0.94,0.96,0.94,0.97,0.91,0.95,0.99
"SPO0167",1.1,0.95,0.94,0.97,1.1,1,0.99,0.89,1,0.99,1,0.96,1,1,0.92,0.95
"SPO0168",1,0.98,0.91,0.97,1.1,0.96,1,1,1.1,1,0.98,1,1.1,0.97,1,0.99
"SPO0169",1,0.95,0.98,1.1,0.88,0.88,0.88,1,0.93,0.89,0.94,0.98,0.94,0.98,0.95,1.1
"SPO0170",1.1,1,1,1,1.1,0.97,0.98,1,1,0.97,0.94,0.93,1.1,0.97,0.99,0.95
"SPO0171",0.95,0.89,1.1,0.93,1.1,0.96,1,1.1,1,0.86,0.99,0.98,0.99,0.89,1.1,1.1
"SPO0172",1.1,0.94,0.97,0.99,1.1,0.96,0.98,0.9,0.98,0.92,0.88,1,1.1,1,1,0.97
"SPO0173",0.74,1.1,0.9,1.2,0.85,0.99,0.9,1.1,0.97,0.96,0.76,1.1,0.92,0.73,1.1,0.97
"SPO0174",0.97,0.93,0.93,0.7,0.9,0.9,1.2,0.81,0.93,1,0.94,0.82,1,1,1.2,0.96
"SPO0175",0.87,1.1,1,0.97,0.86,1.1,1,0.9,0.88,0.98,0.95,0.9,0.87,1,0.95,0.98
"SPO0176",1,1.1,0.9,0.73,0.95,1.1,1,0.93,1,1.1,0.91,0.84,1.1,0.92,0.92,0.97
"SPO0177",1,1,0.96,0.96,1,1.1,0.95,0.99,1,0.98,0.95,0.95,1,0.93,0.96,0.96
"SPO0178",0.93,1.1,1.1,0.87,0.89,1,0.91,0.89,0.82,1.1,0.97,0.95,0.93,1,0.99,0.93
"SPO0179",0.81,1,0.73,0.96,0.88,1,0.72,0.97,0.82,1,0.84,0.92,0.88,0.77,0.79,0.97
"SPO0180",0.84,0.94,0.97,1.1,0.82,0.67,0.8,0.96,0.94,0.9,0.91,0.64,0.96,0.91,0.94,1.1
"SPO0181",1.1,0.86,0.84,0.99,1.1,0.88,0.87,1.1,0.93,0.92,0.79,1,1,1.2,0.88,1
"SPO0182",0.94,0.94,1,0.9,0.84,0.89,1,0.93,0.96,0.96,0.93,0.93,0.96,0.87,0.95,0.74
"SPO0183",0.99,0.88,1,0.99,0.96,0.91,1,0.88,1,0.96,1,0.98,1,1,1,0.88
"SPO0184",1.1,1,1,1,1.1,1,1,1,1.1,1,1,1.1,1,1,1,1
"SPO0185",0.99,0.99,1,0.98,1.1,0.99,1,0.97,1,1,1,1,1,0.92,0.96,1
"SPO0186",1.1,1,1.1,1.1,1,1.1,1.1,1.1,1,1,1.1,1,1,1,1.1,1
"SPO0187",0.88,0.91,1,0.93,1,0.67,1,0.85,0.94,0.88,1,1.1,0.88,0.81,1.1,1
"SPO0188",1,0.97,0.94,0.97,1,1,0.95,0.97,1,0.97,0.96,0.99,0.96,0.99,0.94,0.96
"SPO0189",1,0.94,0.91,1,0.98,0.97,0.98,1,0.9,0.92,0.99,1,1,0.87,0.99,1
"SPO0190",0.96,0.98,0.97,0.98,0.97,1,1.1,0.99,0.98,0.99,1,1,0.96,0.93,1,1
"SPO0191",0.92,0.94,1,1,0.87,0.86,0.99,1,0.95,0.99,1,0.98,0.83,0.99,0.97,1
"SPO0192",0.94,1.1,0.98,0.92,1.1,1.1,1,0.96,1,1,1,0.98,0.98,1,1,0.99
"SPO0193",0.94,0.88,1,0.99,0.96,0.91,0.99,1,0.96,0.9,0.9,0.96,0.97,0.98,1,0.92
"SPO0194",0.96,1,1,1,0.92,1,1,1,0.99,0.94,0.99,1,1,0.98,0.94,1
"SPO0195",1.1,1,1,1,1,1,0.98,0.94,1,1,0.92,1,1,0.94,0.97,0.95
"SPO0196",1.1,0.99,1.1,1,1,0.95,1,0.93,1.1,0.96,0.97,1,0.95,1,1,0.95
"SPO0197",0.96,1,0.97,1,0.96,0.98,0.99,0.98,0.97,1,1,1,0.93,0.94,1,0.93
"SPO0198",0.99,0.97,1.1,0.96,0.93,0.95,0.95,1,1.1,0.96,1,0.96,1,0.99,1.1,0.87
"SPO0199",0.97,0.99,1.1,1.1,0.97,0.99,1,0.99,0.97,0.97,1,1,0.98,0.94,1,1
"SPO0200",1,0.96,1,0.98,0.97,0.95,0.96,1,0.91,0.94,0.97,0.96,1,0.82,0.93,1.1
"SPO0201",1,1.1,1,0.96,0.88,1.2,0.99,0.82,0.87,1.1,0.89,1,0.86,1.1,0.85,0.8
"SPO0202",1.1,1.1,1,0.96,1.2,0.96,0.99,0.89,1.1,0.98,0.98,0.98,1.1,0.98,0.96,1
"SPO0203",0.94,0.96,1,0.99,0.99,0.96,1,0.96,1,0.98,0.98,0.98,0.94,0.98,1,1
"SPO0204",0.99,1.1,1,0.93,0.94,1,0.93,0.93,0.93,1,0.95,0.95,0.96,1,0.98,0.95
"SPO0205",1.1,0.96,0.94,0.92,0.99,1,1,1,0.97,1,1,0.98,0.97,1,1,1.1
"SPO0206",0.88,0.99,0.93,0.94,0.93,0.98,0.95,0.97,0.95,1,1,0.92,0.86,1,0.97,0.9
"SPO0207",1.1,0.99,0.97,0.97,1,0.95,0.99,0.98,1,0.97,0.98,1,1,0.96,0.96,0.99
"SPO0209",1,0.91,1,0.99,0.94,0.99,0.97,0.91,1.1,0.92,0.97,0.99,1,0.95,1,0.99
"SPO0210",0,0,0.18,0,0.36,0,0,0.23,0,0.12,0,0.092,0.39,0.22,0.24,0.18
"SPO0211",1,1,1,1,0.97,1,0.96,1,0.95,0.97,0.98,1,1,1,1,0.96
"SPO0212",1.1,1,0.98,0.93,0.99,0.95,0.89,0.98,1,0.99,0.97,0.98,1,1.1,0.97,1
"SPO0213",1,0.98,0.97,1.1,0.95,0.96,0.97,0.99,0.97,1,1,0.96,0.97,0.89,1.1,0.95
"SPO0214",0.99,0.99,1.1,1,0.97,0.97,0.98,0.99,1,0.98,0.99,0.96,1,0.94,1,0.99
"SPO0215",0.24,0.13,0.21,0.19,0.43,0.38,0.36,0.49,0.33,0.35,0.39,0.099,0.26,0.27,0.38,0.42
"SPO0216",0.099,0,0.075,0.082,0.084,0.32,0.073,0.13,0.22,0.16,0.13,0.09,0.37,0.19,0.13,0.39
"SPO0217",0.89,0.84,0.78,1,1.1,0.81,1.1,0.76,0.74,0.65,1,0,0.93,0,1.2,0.92
"SPO0218",0.93,0.99,0.99,0.98,0.96,1,0.97,0.98,0.99,1,0.95,0.97,0.92,1,0.97,0.99
"SPO0219",0.94,0.97,1,1,1.1,1.1,1.1,1.1,1,1,1,1,1.1,1,1.1,1.1
"SPO0220",1.1,1,1,1.1,1,1,1,1.1,0.99,1,1,1,1,0.98,0.97,0.99
"SPO0221",1.2,1.1,1,1,1.2,0.98,1,1.1,1.1,0.99,0.93,1,1.1,1.1,0.99,1.1
"SPO0222",1.1,0.99,1.1,1.1,1,1,1,1.1,1,0.98,1,1,1,0.99,1,1.1
"SPO0223",1,0.99,0.97,0.99,1,1,0.96,0.98,1,1,0.93,0.93,1,0.98,1,1
"SPO0224",0.99,1,0.94,1.1,0.9,0.95,0.98,1,0.94,0.92,0.98,0.99,0.93,0.95,0.96,1
"SPO0225",0.91,0.98,1,0.96,0.97,0.93,1.1,0.99,0.96,0.93,1,0.99,0.91,0.92,1.1,1
"SPO0226",0.99,1,0.99,1,1,1,0.96,0.95,1,0.98,1,0.98,0.86,1,0.95,0.96
"SPO0227",1.1,1.1,1,1.1,1,1,1,1,1,1,1.1,1.1,1,1,1,1
"SPO0228",0.92,1.1,1.1,0.97,0.93,1,1.1,1,1,1,1.1,1,0.98,1.1,1.1,0.98
"SPO0230",1.2,1.2,1,1.1,0.98,1,1.1,1,1,1.1,0.95,0.95,1,1,1.1,0.99
"SPO0231",1.1,1.1,1,0.96,1,1,1,1,1,1,1.1,1,1,1.1,1,1
"SPO0232",0.98,1,1,1,1,1,1,1,0.99,0.99,0.99,0.99,0.97,1,0.98,0.99
"SPO0233",0.9,0.76,1.2,1.1,1,0.88,1,1,1,0.88,1.1,0.88,1.1,0.85,1,0.79
"SPO0234",1,1.1,1.1,1.1,1,1.1,1.1,1.1,1,1.1,1.1,1.1,1,1.1,1.1,1.1
"SPO0235",1.1,1,1,1.1,1.1,1,1,1,1.1,1,1,1,1.1,1,1.1,1
"SPO0236",1.1,1.1,1,1,1,0.95,0.96,1.1,1,1,0.99,0.99,0.99,0.98,0.95,0.98
"SPO0237",1.1,1,1,1,1,1,1,1,0.99,1.1,1,1.1,1,1,1,1
"SPO0238",0.98,1,0.99,1,0.95,1,0.94,0.97,0.96,1,0.96,0.97,0.98,1,1,0.99
"SPO0239",1,1,1,1,0.98,0.99,0.99,1,1,1,1,1,1,0.99,1,1
