"spo","w_1_rpomAlone","w_2_rpomAlone","w_3_rpomAlone","w_4_rpomAlone","w_1_vib","w_2_vib","w_3_vib","w_4_vib","w_1_mari","w_2_mari","w_3_mari","w_4_mari","w_1_CC","w_2_CC","w_3_CC","w_4_CC"
"SPO1089",1,0.99,1,1.1,0.79,0.99,0.81,1,0.93,1.1,0.96,0.95,1.1,0.79,1,1.2
"SPO1090",0.95,1.1,1,0.97,1,0.92,1,0.97,0.98,1,1,1,1,1,0.93,0.96
"SPO1091",0,0.64,NA,1,0.65,1.1,NA,1.2,0.62,0.82,NA,1.2,0,1.2,NA,NA
"SPO1092",1,0.96,1.1,0.99,0.97,0.93,1,1.1,0.97,0.95,0.95,0.9,0.95,0.83,0.99,0.98
"SPO1093",0.86,0.96,0.93,1.1,0.91,0.99,1,0.92,0.95,0.93,0.99,0.89,1,0.86,0.93,0.99
"SPO1094",0,0,0.65,0,0,0,0,0,0,0,0,0,0.67,0.88,0,0
"SPO1094a",1.1,1.1,1.1,1,1,1,0.99,0.94,1,1,1,0.98,1.1,0.96,1,0.98
"SPO1095",0.91,0.98,1.1,0.99,0.91,0.92,1,0.94,0.94,0.9,1.1,1,0.95,0.93,1,0.99
"SPO1096",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPO1097",0.34,0.66,0.62,0,0.53,0.97,0.63,0.54,0.79,0.92,0.62,0.72,0.4,0,0.45,0.74
"SPO1098",0.87,0.74,0.65,0.79,0.99,0.9,0.83,0.71,0.83,0.84,0.94,0.86,1.1,0.87,0.61,0.66
"SPO1099",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPO1101",0,0.29,0,0.61,0,0.75,0.77,0.74,0,0,0.26,0.59,0.56,0,0,0.85
"SPO1102",NA,0,NA,NA,NA,1,1.6,NA,NA,0.83,NA,NA,NA,0,NA,NA
"SPO1103",1,1.1,0.92,0.91,0.97,1.2,0.83,0.98,0.92,1.1,0.97,0.88,0.88,1.1,0.98,0.96
"SPO1104",0.85,1.2,1.1,1.1,0.88,1.1,1.1,0.9,0.94,1.2,1,1,1.1,1.1,0.92,0.92
"SPO1105",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPO1106",1.2,0.79,1.1,1.2,0.72,0.74,1,1.1,0.92,0.87,1.1,1.2,0.8,0.53,0,1.1
"SPO1107",0.97,0.95,1.1,0.93,1,1.1,0.95,1,0.87,1,0.98,0.95,0.94,0.99,0.94,0.99
"SPO1108",1.2,1,0.85,0.94,1.1,0.99,1.1,0.97,1.1,1.1,1,0.97,0.93,1.1,0.96,0.97
"SPO1109",0.91,0.95,0.86,0.93,0.96,1,0.98,1,0.94,1,1,0.84,0.95,0.99,0.88,0.97
"SPO1110",1.1,0.83,1.2,1.1,1,0.91,1.1,0.84,1,1,1,0.98,1,0.75,1,0.92
"SPO1111",1.5,0.98,0.67,0.77,1.4,0.86,0.85,0.88,1.2,0.92,1,1.1,1.3,0.88,0.7,1
"SPO1112",0.98,0.85,1.1,0.9,1.2,0.9,0.99,1,1,0.92,1,0.9,1.1,1,1,0.87
"SPO1113",0.92,1.1,0.99,0.99,1.1,0.95,1,1.1,0.99,1.1,0.99,1,1.1,1.1,1,1
"SPO1114",1.1,0.93,1,1,0.98,1.1,1.1,0.9,1,0.94,1,1,0.98,0.95,1.1,0.93
"SPO1115",1,0.99,1,1.1,0.9,0.98,1,1,0.96,1,0.96,0.99,0.96,1.1,1,0.97
"SPO1116",0.97,1,1,1,0.98,1,1,1,1,1,1,0.99,0.99,1,1,1
"SPO1117",0.59,0.61,0.36,0.44,0.48,0.68,0.52,0.71,0.69,0.58,0.38,0.42,0.63,0.68,0.45,0.72
"SPO1118",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPO1119",1,1.1,1.1,1.1,0.88,1.1,1,1.1,1,1.1,1.1,1,1,0.87,1.1,1.1
"SPO1120",0.55,0.77,0.84,0.49,0.96,0.77,0.87,0.77,1,0.75,0.91,0.77,0.98,0.84,0.88,0.77
"SPO1121",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPO1122",0.8,0.86,0.72,1.2,1.1,1.2,0.74,1.1,1.1,1,0.97,1.2,1.1,1.3,0.84,1.1
"SPO1123",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPO1124",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPO1125",0,1.2,0.93,1.3,1.1,1,1.1,1.1,0.88,0.76,0.73,1.2,0.87,1.1,1.1,1.1
"SPO1126",1.1,1.1,1,1.1,1,1,1,1.1,0.93,1.1,0.96,1.1,1,1.2,1,1.1
"SPO1127",1,0.83,1,1,0.85,0.67,0.35,0.75,1,1.2,0.78,1,1.1,0.62,0.93,1
"SPO1128",1.1,0.99,1.2,1.1,1.1,1,1.1,0.99,1.1,1,1.1,1.1,1,1.1,1.2,0.95
"SPO1129",0.98,1.1,0.91,1,1.1,1.1,1.1,1.1,0.97,1.1,1,0.97,1.1,1.1,0.94,1
"SPO1130",0.8,1.5,1.4,0.95,0.97,1.4,1.1,0.89,0.97,1.2,1.1,0.81,0.69,1.1,1.3,0.92
"SPO1131",1.1,1.1,1,1,1.1,1.1,0.98,0.98,0.89,1.1,1,1,1,1.1,0.99,1
"SPO1132",1.1,0.94,1,0.87,1.1,0.9,1,1.1,0.98,1,0.99,1,1.1,1.2,0.91,1.1
"SPO1133",0.94,0.73,1.1,0.87,1,0.95,0.91,1,1,0.93,0.98,0.93,1.1,0.89,0.97,0.92
"SPO1134",1.4,0.9,1.1,0.71,1.1,0.87,1,1,1.1,0.97,0.88,0.98,1.1,1,1.1,0.87
"SPO1135",1,1.1,1.1,1.2,0.99,0.94,0.97,1.1,1,0.88,0.89,0.97,1.2,0.94,1.1,1.1
"SPO1136",0.98,0.81,1,0.95,0.97,0.81,0.94,0.91,0.98,0.84,1,0.94,0.89,0.78,1,1
"SPO1137",0.92,0.88,0.95,0.77,0.89,0.9,0.94,1,0.74,0.87,0.96,0.97,0.84,0.88,0.92,0.93
"SPO1138",0.48,0.8,1,0.78,0.94,1.1,0.85,1,0.87,0.92,0.93,0.95,0.73,0.98,0.8,0.98
"SPO1139",1,1,0.88,1.1,0.88,0.99,0.98,0.97,1,0.91,0.97,0.83,0.93,1,0.74,0.88
"SPO1140",1,0.93,1,0.72,1,0.97,0.9,0.89,0.89,0.87,0.95,1.1,0.8,0.95,0.91,1.1
"SPO1141",1.3,1.3,0.96,0.59,0.65,0.99,0.84,1,0.9,0.94,0.94,0.68,1.1,1.1,0.4,0.96
"SPO1142",0.92,0.92,0.87,0.96,1.1,1,0.9,1,1,0.91,0.88,0.9,0.99,0.91,0.88,0.92
"SPO1143",0.9,0.68,0.97,0.76,0.83,0.7,0.98,0.76,0.96,1,1,0.91,0.7,0.91,1.1,0.74
"SPO1144",1.3,0.8,0.96,0.73,1.2,0.77,0.98,0.92,1.1,0.92,0.92,0.96,1,0.92,0.81,0.98
"SPO1145",0.96,1,1,0.86,1.1,0.95,1,1.1,1.1,1,0.95,1,1.1,0.96,0.96,0.99
"SPO1146",0.98,0.87,0.88,0.86,1.1,0.98,0.96,0.86,1,0.96,0.97,1,1.1,0.95,1,0.87
"SPO1147",0.95,0.81,0.94,0.9,0.89,0.87,0.96,0.97,0.92,0.85,1,0.96,0.72,0.9,1,0.97
"SPO1148",1.1,0.86,0.97,1.1,1.1,1.1,0.95,1,1.1,1.1,1,0.94,0.95,0.86,0.96,0.96
"SPO1150",1.1,1.3,1.2,1,0.79,1.5,1.1,0.83,0.96,1.3,1.1,1,0.93,1.1,1.2,0.98
"SPO1151",NA,NA,0.66,1.5,NA,NA,0.88,NA,NA,NA,0.97,NA,NA,NA,0.93,NA
"SPO1152",1.1,1.1,1.2,1,1,0.91,1,0.96,0.94,1,1.1,0.91,1,0.88,1.1,0.94
"SPO1153",0.77,0.91,1.1,1.3,1,0.8,0.92,1.2,0.96,0.95,0.94,1.1,0.98,0.71,1.1,1.1
"SPO1154",1,1.2,0.86,1,1,1,1,1.1,1,1.1,0.95,1,1,0.87,0.96,0.94
"SPO1155",0,0,0.2,0,0.53,0.88,0,0,0,0,0,0,0,0,0.62,0
"SPO1156",NA,NA,NA,NA,NA,NA,NA,NA,1.7,NA,NA,NA,NA,NA,NA,NA
"SPO1157",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
