"spo","meanW","semW"
"SPO_Sp16SA",0.967,0.005
"SPO_Sp16SB",0.966,0.007
"SPO_Sp16SC",0.964,0.005
"SPO_Sp23SA",0.961,0.003
"SPO_Sp23SB",0.962,0.001
"SPO_Sp5SD",0.995,0.006
"SPO_Sp5SE",0.975,0.008
"SPO_Sp5SF",0.96,0.012
"SPO0001",0.827,0.041
"SPO0002",1.022,0.023
"SPO0003",0.815,0.102
"SPO0005",1.063,0.01
"SPO0006",1.026,0.014
"SPO0007",1.04,0.018
"SPO0008",0.984,0.011
"SPO0009",0.955,0.024
"SPO0010",0.361,0.211
"SPO0011",0.993,0.004
"SPO0012",1.017,0.021
"SPO0013",0.998,0.021
"SPO0014",0.98,0.013
"SPO0015",1.052,0.032
"SPO0016",0.984,0.02
"SPO0017",1.019,0.007
"SPO0018",0,0
"SPO0019",0.975,0.012
"SPO0020",1.024,0.008
"SPO0021",0.925,0.012
"SPO0022",0.992,0.01
"SPO0023",1.03,0.015
"SPO0024",0.911,0.017
"SPO0025",1.015,0.021
"SPO0027",0.986,0.006
"SPO0028",0.994,0.011
"SPO0029",1.05,0.02
"SPO0030",1.024,0.013
"SPO0031",1.045,0.012
"SPO0033",1.044,0.023
"SPO0034",1.002,0.018
"SPO0035",0.998,0.012
"SPO0036",0.983,0.004
"SPO0037",0.991,0.004
"SPO0040",1.006,0.014
"SPO0041",1.045,0.013
"SPO0042",1.018,0.022
"SPO0044",0.929,0.072
"SPO0045",0.991,0.02
"SPO0046",0.922,0.009
"SPO0046a",0.982,0.054
"SPO0047",0.934,0.04
"SPO0048",0.995,0.029
"SPO0049",1.006,0.013
"SPO0050",0.962,0.02
"SPO0051",0.997,0.021
"SPO0052",1.009,0.031
"SPO0053",0.998,0.039
"SPO0054",0.97,0.024
"SPO0055",1.05,0.011
"SPO0056",1.04,0.015
"SPO0057",0.883,0.324
"SPO0058",1.017,0.011
"SPO0059",0.966,0.01
"SPO0060",1.054,0.01
"SPO0062",0.44,0.265
"SPO0063",0.141,0.141
"SPO0066",0.969,0.011
"SPO0067",0.881,0.017
"SPO0068",1.012,0.019
"SPO0069",1.015,0.011
"SPO0070",0.996,0.022
"SPO0071",1.055,0.022
"SPO0072",0.898,0.063
"SPO0075",1.057,0.01
"SPO0077",0.963,0.02
"SPO0078",1.072,0.004
"SPO0084",1.058,0.013
"SPO0085",0.883,0.051
"SPO0086",1.048,0.005
"SPO0087",1.001,0.015
"SPO0088",1.017,0.035
"SPO0089",1.022,0.018
"SPO0090",0.995,0.021
"SPO0091",1.013,0.008
"SPO0092",0.955,0.04
"SPO0093",1.007,0.043
"SPO0094",0.983,0.011
"SPO0095",0.889,0.016
"SPO0096",0.97,0.032
