"spo","meanW","semW"
"SPO0674",0.9,0.04
"SPO0675",0.74,0.04
"SPO0676",0.62,0.31
"SPO0677",1.04,0.01
"SPO0678",0.95,0.04
"SPO0679",1.04,0.09
"SPO0680",1.02,0.01
"SPO0681",1.19,0.19
"SPO0682",1.04,0.03
"SPO0683",1.02,0.05
"SPO0684",1.11,0.08
"SPO0685",1.04,0.02
"SPO0686",1.02,0.02
"SPO0687",1.02,0.04
"SPO0688",1.04,0.01
"SPO0689",0.52,0.33
"SPO0690",0.89,0.03
"SPO0691",0.56,0.19
"SPO0692",1.03,0.03
"SPO0693",0.98,0.03
"SPO0694",0.93,0.02
"SPO0695",1.17,0.03
"SPO0697",1.01,0.06
"SPO0698",0.96,0.11
"SPO0699",0.89,0.02
"SPO0700",1.1,0.05
"SPO0701",1,0.04
"SPO0702",0.99,0.04
"SPO0703",0.97,0.03
"SPO0704",0.94,0.04
"SPO0705",1.01,0.02
"SPO0706",1.02,0.01
"SPO0707",0.88,0.04
"SPO0708",0.9,0.03
"SPO0710",1.05,0.04
"SPO0711",0.88,0.01
"SPO0712",0.89,0.09
"SPO0713",1.05,0.04
"SPO0714",0.42,0.42
"SPO0715",0.34,0.14
"SPO0716",1.01,0.02
"SPO0717",1.05,0.02
"SPO0718",0.92,0.13
"SPO0721",0.8,0.29
"SPO0722",0.74,0.32
"SPO0723",1.11,0.05
"SPO0724",0.96,0.01
"SPO0725",0.9,0.09
"SPO0727",0.74,0.25
"SPO0728",0.98,0.01
"SPO0729",0,NA
"SPO0732",0,NA
"SPO0733",1.05,0.03
"SPO0734",0.95,0.08
"SPO0735",1.06,0.02
"SPO0736",0.95,0
"SPO0737",1.01,0.11
"SPO0738",1.01,0.03
"SPO0739",1.03,0.04
"SPO0740",1,0.02
"SPO0741",0.97,0.03
"SPO0742",1,0.02
"SPO0743",0.8,0.05
"SPO0744",0.97,0.02
"SPO0745",0.95,0.01
"SPO0746",0.97,0.02
"SPO0747",0.98,0.04
"SPO0748",0.95,0.1
"SPO0749",0.96,0.02
"SPO0750",1.02,0.04
"SPO0751",1.01,0.03
"SPO0752",1.05,0.02
"SPO0753",1,0.01
"SPO0754",1.06,0.02
"SPO0755",1.05,0.02
"SPO0756",1.07,0.05
"SPO0757",1.07,0.01
"SPO0758",1.1,0.01
"SPO0759",0.97,0.06
"SPO0760",0.81,0.01
"SPO0761",0.94,0.04
"SPO0762",1.11,0.13
"SPO0763",1.05,0.04
"SPO0764",0.9,0.04
"SPO0765",0.95,0.05
"SPO0766",0.88,0.13
"SPO0767",0.79,0.23
"SPO0768",0.88,0.13
"SPO0769",1.01,0.04
"SPO0770",0.96,0.06
"SPO0771",0.96,0.05
"SPO0772",1.03,0.06
"SPO0773",1.1,0.08
"SPO0774",0.96,0.03
"SPO0775",1.01,0.05
"SPO0776",1.02,0.11
"SPO0777",0.6,0.24
"SPO0778",0.84,0.06
"SPO0779",0,0
"SPO0780",0.96,0.05
"SPO0781",1.32,NA
"SPO0782",0.88,0.03
"SPO0783",0.8,0.05
"SPO0784",1,0.11
"SPO0785",0.7,0.26
"SPO0786",1.01,0.05
"SPO0787",0.87,0.09
"SPO0788",0.84,0.03
"SPO0789",1.11,0.1
"SPO0790",1.06,0.13
"SPO0791",1.07,0.03
"SPO0792",1.02,0.06
"SPO0793",0.93,0.03
"SPO0794",0.86,0.03
"SPO0795",1.03,0.1
"SPO0796",0.94,0.08
"SPO0797",0.98,0.04
"SPO0798",0.94,0.05
"SPO0799",0.7,0.31
"SPO0800",0.78,0.05
"SPO0801",0.98,0.03
"SPO0803",0.86,0.04
"SPO0806",0,0
"SPO0807",0.87,0.11
"SPO0808",0.29,0.18
"SPO0809",1.02,0.06
"SPO0810",1.03,0.02
"SPO0811",1.15,0.22
"SPO0812",0,NA
"SPO0813",0.91,0.04
"SPO0814",0.98,0.05
"SPO0816",0.94,0.08
"SPO0817",0.66,0.22
"SPO0818",0.91,0.02
"SPO0819",0.9,0.09
"SPO0820",1.02,0.03
"SPO0821",1,0.02
"SPO0822",0.99,0.04
"SPO0823",0.98,0.09
"SPO0824",0.99,0.05
"SPO0825",0.93,0.04
"SPO0826",0.96,0.04
"SPO0827",0.97,0.05
"SPO0828",0.93,0.07
"SPO0829",0.96,0.03
"SPO0830",0.98,0.06
"SPO0831",0.96,0.09
"SPO0832",1,0.01
"SPO0833",1.08,0.02
"SPO0834",1,0.02
"SPO0835",1.09,0.02
"SPO0836",1.08,0
"SPO0837",0.85,0.02
"SPO0839",1,0.08
"SPO0840",0.96,0.02
"SPO0841",1.01,0.03
"SPO0842",1.01,0.05
"SPO0844",1,0.04
"SPO0845",0.96,0.03
"SPO0847",0.94,0.03
"SPO0848",1,0.03
"SPO0849",0.95,0.01
"SPO0850",1.05,0.12
"SPO0851",0.57,0.29
"SPO0852",0.92,0.09
"SPO0853",1.06,0.05
"SPO0854",0.84,0.15
"SPO0855",1.03,0.08
"SPO0856",1.02,0.03
"SPO0857",0.98,0.06
"SPO0858",1.06,0.04
"SPO0859",1.15,0.09
"SPO0860",0.61,0.21
"SPO0861",1.05,0.07
"SPO0862",0.85,0.03
"SPO0863",1.03,0.12
"SPO0864",1.08,0.04
"SPO0865",1.07,0.03
"SPO0866",0.88,0.16
"SPO0867",1,0.05
"SPO0868",0.96,0.04
"SPO0869",0.86,0.02
"SPO0870",0.99,0.05
"SPO0872",0.97,0.03
"SPO0873",0.85,0.11
"SPO0874",1.01,0.05
"SPO0875",0.63,0.04
"SPO0876a",0.96,0.06
"SPO0877",0.97,0.06
"SPO0878",1.06,0.05
"SPO0879",0.87,0.06
"SPO0880",1.02,0.06
"SPO0881",0.95,0.01
"SPO0882",0.98,0.05
"SPO0883",1,0.01
"SPO0884",1.03,0.04
"SPO0885",1.11,0.12
"SPO0887",1.04,0.01
"SPO0888",1.02,0.03
"SPO0889",1,0.07
"SPO0890",0.79,0.31
"SPO0891",1.07,0.04
"SPO0892",0.2,0.06
"SPO0893",0.14,0.14
"SPO0894",1.1,0.05
"SPO0895",0.92,0.04
"SPO0897",1.04,0.02
"SPO0898",1.08,0.02
"SPO0899",1.02,0.03
"SPO0900",0.12,0.07
"SPO0901",1.02,0.03
"SPO0902",0.92,0.11
"SPO0903",0,0
"SPO0904",0.6,0.06
"SPO0905",1,0.05
"SPO0906",1.05,0.04
"SPO0907",0,NA
"SPO0910",1.09,0.01
"SPO0911",0.38,0.04
"SPO0912",0.46,0.27
"SPO0913",1.05,0.01
"SPO0914",1.11,0.06
"SPO0915",1.01,0.03
"SPO0916",0.86,0.06
"SPO0917",0.94,0.06
"SPO0918",1.01,0.02
"SPO0919",1.22,0.09
"SPO0920",0.92,0.08
"SPO0921",0.98,0.01
"SPO0922",1.06,0.1
"SPO0923",1.09,NA
"SPO0925",1.02,0.1
"SPO0927",1,0.05
"SPO0928",1.05,0.06
"SPO0929",1.21,0.08
"SPO0930",1,0.08
"SPO0931",0.9,0.53
"SPO0932",0.14,0.14
"SPO0933",0.9,0.08
"SPO0934",1.08,0.03
"SPO0935",1.1,0.04
"SPO0936",0.91,0.23
"SPO0937",0.98,0.03
"SPO0939",1.08,0.05
"SPO0940",1.09,0.07
"SPO0941",0.98,0.33
"SPO0942",1.07,0.03
"SPO0943",0.51,0.22
"SPO0944",1.04,0.01
"SPO0945",1.1,0.01
"SPO0946",0.74,0.03
"SPO0948",0.93,0.06
"SPO0949",1,0.03
"SPO0950",0.81,0.16
"SPO0951",1.1,0.07
"SPO0952",0.97,0.07
"SPO0953",1.03,0.04
"SPO0954",0.69,0.26
"SPO0955",1.06,0.01
"SPO0957",1.1,0.08
"SPO0958",0.92,0.05
"SPO0959",1.02,0.05
"SPO0960",1.29,0.24
"SPO0961",0.9,NA
"SPO0962",0.07,0.07
"SPO0964",0.9,0.05
"SPO0965",1.01,0.12
"SPO0966",1,0.06
"SPO0967",1,0.02
"SPO0968",1.06,0.04
"SPO0970",0.96,0.05
"SPO0971",0.96,0.04
"SPO0972",1.01,0.07
"SPO0973",0.6,0.3
"SPO0974",0.91,0.02
"SPO0975",1.04,0.1
"SPO0976",1.15,0.07
"SPO0977",1.08,0.05
"SPO0978",0.97,0.03
"SPO0980",1.1,0.03
"SPO0981",0.92,0.05
"SPO0982",1.04,0.05
"SPO0983",0.81,0.04
"SPO0984",0.96,0.02
"SPO0985",0.83,0.06
"SPO0986",1.02,0.02
"SPO0987",0.76,0.07
"SPO0988",0.88,0.08
"SPO0989",1.03,0.03
"SPO0990",1.01,0.03
"SPO0991",0.98,0.09
"SPO0992",1.12,0.09
"SPO0993",0.96,0.06
"SPO0995",1.22,0.08
"SPO0996",0.98,0.05
"SPO0997",0.96,0.03
"SPO0998",0.93,0.02
"SPO0999",1.02,0.03
"SPO1000",0.91,0.07
"SPO1001",0.81,0.03
"SPO1002",0.98,0.05
"SPO1003",0,0
"SPO1004",0,0
"SPO1005",0.96,0.01
"SPO1006",0.95,0.03
"SPO1007",1.16,0.03
"SPO1008",1.22,0.07
"SPO1009",0.94,0.04
"SPO1012",1.05,0.07
"SPO1013",0.98,0.06
"SPO1014",1,0.06
"SPO1015",0.99,0.18
"SPO1016",0.96,0.02
"SPO1017",1.02,0.17
"SPO1018",1.01,0.1
"SPO1019",1.05,0.21
"SPO1020",0.97,0.08
"SPO1021",0.93,0.03
"SPO1022",1.06,0.07
"SPO1024",0.85,0.06
"SPO1025",0.91,0.05
"SPO1026",1.07,0.03
"SPO1027",1.03,0.04
"SPO1028",1.08,0.08
"SPO1029",1,0.03
"SPO1030",0.95,0.04
"SPO1031",1.05,0.07
"SPO1032",0.94,0.09
"SPO1033",0.12,0.11
"SPO1034",1.03,0.02
"SPO1036",0.95,0.02
"SPO1037",0.97,0.01
"SPO1038",0.93,0.31
"SPO1039",0.95,0.06
"SPO1040",1.08,0.08
"SPO1041",0.82,0.13
"SPO1042",0.84,0.06
"SPO1043",0.92,0.1
"SPO1044",0.93,0.06
"SPO1044a",0.92,0.06
"SPO1045",1.02,0.01
"SPO1046",1,0.01
"SPO1047",0.98,0.01
"SPO1048",0.97,0.03
"SPO1049",1.09,NA
"SPO1050",0.95,0.04
"SPO1051",0.88,0.09
"SPO1052",0.94,0.02
"SPO1053",1.04,0.03
"SPO1054",0.56,0.27
"SPO1055",0.99,0.06
"SPO1056",0.97,0.05
"SPO1057",0.94,0.06
"SPO1058",1,0.03
"SPO1059",0.98,0.02
"SPO1060",0.97,0.04
"SPO1061",0.96,0.02
"SPO1062",0.91,0.02
"SPO1063",1,0.02
"SPO1064",0.98,0.06
"SPO1065",0.9,0.04
"SPO1066",1.05,0.04
"SPO1067",1.01,0.05
"SPO1068",1,0.05
"SPO1069",0.97,0.07
"SPO1070",0.98,0.02
"SPO1071",1,0.05
"SPO1072",1.01,0.16
