mean,lwrCL,uprCL,spo,naCount
0.942,0.845,1.038,SPO3402,0
1.067,1.014,1.116,SPO3403,0
0.993,0.885,1.093,SPO3404,0
1.034,1.014,1.052,SPO3405,0
1.031,0.912,1.13,SPO3406,0
1.039,0.952,1.131,SPO3407,0
1.06,0.999,1.118,SPO3408,0
1.176,1.008,1.347,SPO3409,0
0.973,0.838,1.104,SPO3410,0
0.983,0.948,1.023,SPO3411,0
1.043,0.986,1.103,SPO3412,0
1.02,0.957,1.091,SPO3413,0
0.98,0.943,1.019,SPO3414,0
NA,NA,NA,SPO3415,10000
NA,NA,NA,SPO3416,10000
NA,NA,NA,SPO3417,10000
0.936,0.898,0.976,SPO3418,0
0.975,0.974,0.975,SPO3419,5831
1.083,1.054,1.115,SPO3420,0
0.295,0,0.942,SPO3421,364
0.781,0.564,0.963,SPO3422,0
1.056,1.024,1.086,SPO3423,0
0.985,0.936,1.03,SPO3424,0
1.02,0.961,1.077,SPO3425,0
NA,NA,NA,SPO3426,10000
0.602,0,0.838,SPO3427,3145
0.99,0.952,1.026,SPO3428,0
0.961,0.935,0.99,SPO3429,0
NA,NA,NA,SPO3430,10000
0.938,0.856,0.999,SPO3431,0
NA,NA,NA,SPO3432,10000
NA,NA,NA,SPO3433,10000
NA,NA,NA,SPO3434,10000
0.904,0.793,1.002,SPO3435,0
0.99,0.894,1.081,SPO3436,0
0.987,0.948,1.025,SPO3437,0
1.074,0.938,1.209,SPO3438,0
0.936,0.75,1.059,SPO3439,0
0.944,0.833,1.051,SPO3440,0
1.004,0.961,1.041,SPO3441,0
0.944,0.914,0.975,SPO3442,0
1.057,0.969,1.15,SPO3443,0
NA,NA,NA,SPO3444,10000
NA,NA,NA,SPO3445,10000
1.052,0.89,1.202,SPO3446,0
1.008,0.95,1.072,SPO3448,0
0.944,0.892,1.013,SPO3449,0
1.015,0.992,1.039,SPO3450,0
NA,NA,NA,SPO3451,10000
1.051,1.014,1.084,SPO3452,0
0.965,0.882,1.037,SPO3452a,0
1.029,0.961,1.112,SPO3453,0
1.014,0.966,1.062,SPO3454,0
1.001,0.972,1.03,SPO3455,0
0.977,0.913,1.036,SPO3456,0
0.93,0.847,1.004,SPO3457,0
0.896,0.845,0.941,SPO3459,0
0.96,0.888,1.037,SPO3460,0
0.979,0.946,1.015,SPO3461,0
0.979,0.97,0.989,SPO3462,0
0.931,0.876,0.982,SPO3463,0
0.959,0.897,1.033,SPO3464,0
0.993,0.965,1.023,SPO3465,0
0.953,0.884,1.023,SPO3466,0
1.009,0.967,1.05,SPO3467,0
0.983,0.956,1.011,SPO3468,0
1.017,0.999,1.035,SPO3469,0
0.978,0.95,1.005,SPO3470,0
0.925,0.9,0.947,SPO3471,0
0.956,0.889,1.013,SPO3472,0
0.951,0.913,0.987,SPO3473,0
1.006,0.982,1.028,SPO3474,0
0.971,0.952,0.988,SPO3475,0
0.952,0.843,1.057,SPO3476,0
0.982,0.921,1.041,SPO3477,0
0.904,0.89,0.919,SPO3478,0
0.87,0.768,0.939,SPO3479,0
0.859,0.842,0.878,SPO3480,0
1.008,0.96,1.052,SPO3481,0
0.927,0.841,1.009,SPO3482,0
0.991,0.937,1.046,SPO3483,0
0.988,0.951,1.036,SPO3484,0
0.966,0.902,1.029,SPO3485,0
0.816,0.684,0.918,SPO3486,0
0.944,0.891,1.003,SPO3487,0
1.075,1.037,1.113,SPO3488,0
1.579,1.316,1.733,SPO3489,653
1.046,0.931,1.175,SPO3490,0
0.957,0.869,1.055,SPO3491,0
0.98,0.897,1.061,SPO3492,0
0.964,0.902,1.028,SPO3493,0
1.021,0.998,1.044,SPO3494,0
0.931,0.835,1.017,SPO3495,0
1.024,0.924,1.167,SPO3496,0
0.998,0.963,1.033,SPO3498,0
0.937,0.904,0.97,SPO3498a,0
1.38,1.38,1.38,SPO3499,7763
NA,NA,NA,SPO3500,10000
1.018,0.994,1.041,SPO3502,0
1.026,0.98,1.063,SPO3503,0
1.018,0.96,1.075,SPO3504,0
1.03,0.99,1.073,SPO3505,0
1.02,0.894,1.159,SPO3506,0
NA,NA,NA,SPO3507,10000
NA,NA,NA,SPO3508,10000
NA,NA,NA,SPO3509,10000
1,0.964,1.03,SPO3511,0
0.954,0.887,1.002,SPO3512,0
0.512,0,1.039,SPO3513,15
0.99,0.946,1.036,SPO3515,0
0.678,0,1.3,SPO3516,197
0.971,0.849,1.107,SPO3518,0
