Well,Organism,Condition
C1,Rpom,Glutamate
C2,Rpom,Glutamate
C3,Rpom,Glutamate
C4,Vib,Glutamate
C5,Vib,Glutamate
C6,Vib,Glutamate
C10,Mari,Glutamate
C11,Mari,Glutamate
C12,Mari,Glutamate
B11,Blank,Glutamate
B12,Blank,Glutamate
F1,Rpom,Ribose
F2,Rpom,Ribose
F3,Rpom,Ribose
G1,Vib,Ribose
G2,Vib,Ribose
G3,Vib,Ribose
G4,Blank,Ribose
G5,Blank,Ribose
