"spo","w_1","w_2","w_3","w_4"
"SPO0274",0.93,1.02,1,0.88
"SPO0275",1.01,1.08,1.11,0.99
"SPO0276",1.04,0.98,0.92,1
"SPO0277",0.97,0.99,0.92,0.95
"SPO0278",NA,NA,NA,NA
"SPO0280",NA,0.95,1.01,1
"SPO0281",1.07,0.92,0.93,0.95
"SPO0282",0.81,1.04,1,1.05
"SPO0283",NA,NA,NA,NA
"SPO0284",0.45,0.46,0.35,0.09
"SPO0285",1.04,0.95,0.92,0.9
"SPO0286",0.94,0.94,0.91,0.84
"SPO0287",0,0,0,0.53
"SPO0288",NA,NA,NA,NA
"SPO0289",0.94,0.94,0.79,0.82
"SPO0290",0.96,0.91,0.91,0.91
"SPO0291",0.76,0.82,0.65,0.8
"SPO0292",0.95,1.03,0.97,0.97
"SPO0293",1,0.97,1.01,0.97
"SPO0294",0.92,0.86,0.94,0.79
"SPO0295",0.95,0.96,0.98,0.98
"SPO0296",1.07,1.03,1.01,1.01
"SPO0297",NA,0.8,0.56,NA
"SPO0298",1,0.99,0.97,0.97
"SPO0299",0.99,1.08,1.01,1.03
"SPO0300",1.03,1,1.02,1.03
"SPO0301",1.02,0.99,0.98,1.02
"SPO0302",1,1.01,0.86,0.92
"SPO0303",1.08,1.1,1.02,1.03
"SPO0304",1.09,1.05,1.08,1.07
"SPO0305",1.03,1,0.92,1.07
"SPO0306",0.84,0.88,0.95,0.87
"SPO0307",0.88,0.83,0.9,0.8
"SPO0308",0.87,0.89,0.9,1.07
"SPO0309",0.96,1.01,0.91,1
"SPO0310",0.96,1,0.92,0.89
"SPO0311",1.07,1.05,1.05,1.1
"SPO0312",0.96,0.98,1.05,1.01
"SPO0313",1.14,0.96,0.94,0.97
"SPO0314",1.06,1.02,1.05,0.92
"SPO0315",1.09,0.89,0.88,0.89
"SPO0316",NA,NA,NA,NA
"SPO0317",0.91,1.05,0.92,0.97
"SPO0318",NA,NA,NA,NA
"SPO0319",NA,NA,NA,NA
"SPO0320",0.81,1.08,0.82,0.8
"SPO0321",1.07,0.95,0.97,1.04
"SPO0322",1.07,0.93,0.96,1.04
"SPO0323",0.96,0.97,0.99,0.95
"SPO0324",1.01,0.95,0.97,0.93
"SPO0325",1.14,0.9,0.92,0.79
"SPO0326",1.05,1.07,1.04,1.08
"SPO0327",0.98,0.87,0.91,0.92
"SPO0328",0.93,1.02,0.94,0.99
"SPO0329",0.91,0.91,1,0.91
"SPO0330",0.85,0.98,0.86,0.9
"SPO0331",0.85,0.87,0.92,0.95
"SPO0332",0,0,0,0
"SPO0333",0.94,1.06,1.16,1.1
"SPO0334",0.3,0.31,0.45,0.42
"SPO0335",0.98,0.94,0.99,0.99
"SPO0336",0.89,0.55,0.86,0.91
"SPO0337",1.03,1.06,1.03,1.06
"SPO0338",1.01,1.07,0.97,1.04
"SPO0339",0.98,1.01,1.05,1.08
"SPO0340",NA,NA,NA,NA
"SPO0342",0.94,1.01,0.93,0.93
"SPO0343",1.17,0.91,NA,0.97
"SPO0344",NA,NA,NA,NA
"SPO0344a",0.72,0.8,0.73,0.66
"SPO0345",0.48,0.48,0.4,0.65
"SPO0346",NA,NA,NA,NA
"SPO0346a",0.83,0.79,0.76,0.8
"SPO0347",NA,NA,0.46,NA
"SPO0348",1,0.98,0.94,0.98
"SPO0349",0.5,0.26,0.53,0.5
"SPO0350",1.14,1.01,0.97,1
"SPO0351",0.89,1.13,0.91,0.67
"SPO0352",0.92,1.04,1.03,0.95
"SPO0353",1.05,1.03,0.99,1.03
"SPO0354",0.92,0.94,0.98,0.95
"SPO0355",0.8,0.79,0.72,0.79
"SPO0356",0.96,0.99,1.01,1.02
"SPO0357",0.95,1.02,0.99,0.92
"SPO0358",NA,NA,NA,NA
"SPO0360a",NA,0,0,0
"SPO0362",1.02,1.02,1.03,1.03
"SPO0363",1.03,0.99,1.05,1.03
"SPO0364",1.02,1.06,1.01,1.01
"SPO0365",0.96,0.99,1.01,1.01
"SPO0366",0.95,0.98,0.98,0.97
"SPO0367",0.76,0.87,0.86,0.97
"SPO0368",0.97,1.01,0.99,1
"SPO0369",1.03,1.07,1.02,1.03
"SPO0370",1.02,1.05,1.03,1.06
"SPO0371",0.95,0.92,0.94,0.97
"SPO0372",1.05,1,0.99,0.97
"SPO0373",1.02,0.97,0.96,1.07
"SPO0374",0.81,0.74,0.74,0.86
"SPO0375",0.83,0.88,0.76,0.86
"SPO0376",1.1,1.04,1.03,1.05
"SPO0377",1.09,1.03,1.06,1.07
"SPO0378",1.02,1.03,1.02,1.07
"SPO0379",0.96,1.09,1.01,1.08
"SPO0380",0.95,0.98,0.99,1
"SPO0381",NA,NA,NA,NA
"SPO0382",NA,NA,NA,NA
"SPO0383",1.03,0.88,0.96,1.07
"SPO0384",0.96,0.98,1.01,0.98
"SPO0385",0.91,1.03,1.02,0.97
"SPO0386",0.54,0.62,0.37,0.58
"SPO0387",1.05,0.99,0.95,0.95
"SPO0388",1.02,1.02,1.06,1.04
"SPO0389",0.88,0.79,0.95,1.01
"SPO0390",1.08,1.02,1.04,1.05
"SPO0391",1.1,1.02,1.01,1.06
"SPO0392",NA,NA,NA,NA
"SPO0393",1,0.9,0.99,0.91
"SPO0394",0.97,0.99,0.97,0.98
"SPO0395",0.99,0.93,0.92,0.88
"SPO0396",NA,NA,NA,0.51
"SPO0397",0.62,0.42,0.69,0.63
"SPO0398",1.06,0.73,0.84,0.98
"SPO0399",1.26,0.81,1.03,0.93
"SPO0400",1.09,0.96,0.97,1.03
"SPO0401",0.57,0.34,0.56,0.23
"SPO0402",0.97,0.93,0.94,0.97
"SPO0403",0.99,0.99,0.96,0.98
"SPO0404",NA,NA,NA,NA
"SPO0405",1,NA,0.67,1.1
"SPO0406",1.03,1,1.05,1.08
"SPO0407",1,1.02,0.91,1.08
"SPO0408",NA,NA,NA,NA
"SPO0409",1.05,0.97,0.84,0.81
"SPO0410",0.76,0.81,0.68,0.72
"SPO0411",1.11,1,1.05,0.91
"SPO0412",0.93,0.88,0.98,1.07
"SPO0413",0.99,1.05,1,0.95
"SPO0414",1.02,1.03,1.01,1.05
"SPO0415",0.98,1.03,1.04,1
"SPO0416",NA,NA,NA,NA
"SPO0417",0.92,1.2,1.29,0.76
"SPO0418",NA,NA,NA,NA
"SPO0419",1.04,NA,NA,NA
"SPO0420",NA,NA,NA,NA
"SPO0421",0.8,0.97,0.96,0.99
"SPO0422",0.47,0.68,0.55,0.62
"SPO0423",1.11,1.08,1.03,0.99
"SPO0424",0.95,1.03,1.02,0.98
"SPO0425",1.05,1,1,1.01
"SPO0426",NA,NA,NA,NA
"SPO0427",1.06,0.97,1.02,0.98
"SPO0428",1.02,0.99,0.95,1.01
"SPO0429",0.95,1.04,0.96,0.87
"SPO0430",NA,NA,NA,NA
"SPO0431",0.94,0.96,0.94,0.88
"SPO0432",0.82,0.92,1.08,0.98
"SPO0433",1,0.98,0.97,0.99
"SPO0434",0.99,1.02,1.12,0.96
"SPO0435",0.91,1.06,0.97,1.04
"SPO0436",0.99,0.97,1.01,0.96
"SPO0437",0.99,0.94,1.03,0.95
"SPO0438",0.99,1.04,1.06,1.01
"SPO0439",0.99,0.99,0.97,1.03
"SPO0440",0.96,0.96,0.96,0.95
"SPO0441",0.89,0.92,1.14,0.94
"SPO0442",1.12,0.96,1.08,1.06
"SPO0443",1.14,1.02,0.95,1.1
"SPO0444",0.88,1.05,0.95,0.91
"SPO0445",0.88,1,0.96,0.94
"SPO0446",0.95,0.94,0.95,0.96
"SPO0447",0.98,0.92,0.99,0.97
"SPO0448",1.08,1.03,0.95,0.99
"SPO0449",NA,NA,NA,NA
"SPO0450",0.94,1.05,1,0.99
"SPO0451",0.98,1.01,0.94,0.99
"SPO0452",0.83,0.91,0.85,0.95
"SPO0453",0.84,1.04,0.91,0.97
"SPO0454",1.04,1.06,1.04,0.99
"SPO0455",NA,NA,NA,NA
"SPO0456",0.94,0.97,0.95,1.07
"SPO0457",0.98,1.02,1.02,1
"SPO0458",0.94,0.99,1,1.01
"SPO0460",0.87,0.95,0.93,1.01
"SPO0461",1.12,1,0.96,1.03
"SPO0462",0.81,1.03,0.89,0.96
"SPO0463",1.03,0.99,1,1.02
"SPO0464",1.13,1.01,0.96,1.11
"SPO0465",1.21,1.02,1.15,0.99
"SPO0466",1.04,0.96,0.99,1.06
"SPO0467",1.01,1.03,0.99,1.13
"SPO0468",1.09,0.99,0.84,1.03
"SPO0469",1.05,0.89,0.95,1.01
"SPO0470",1.04,0.98,0.92,0.95
"SPO0471",0.89,0.96,0.97,0.99
"SPO0472",0.92,0.9,0.96,1.03
"SPO0473",0.85,0.85,0.94,0.84
"SPO0474",1.01,0.94,1.13,0.79
"SPO0475",NA,NA,NA,NA
"SPO0476",1.05,1,0.87,1.08
"SPO0477",1.01,0.87,0.99,0.93
"SPO0478",1.05,1.03,1.03,1.05
"SPO0479",0.99,0.99,0.98,1
"SPO0481",1.01,1.04,1.09,1.02
"SPO0482",1.06,0.92,1,1.04
"SPO0483",1.02,1.03,1.02,0.98
"SPO0484",NA,NA,NA,NA
"SPO0485",NA,NA,NA,NA
"SPO0486",NA,NA,NA,NA
"SPO0487",NA,NA,NA,NA
"SPO0489",0.99,1,0.98,1.01
"SPO0490",0.98,0.98,0.93,0.97
"SPO0491",0.98,1.02,1.03,1.01
"SPO0491a",0.98,0.93,0.97,0.95
"SPO0492",0.9,1.04,0.96,1.01
"SPO0496",NA,NA,NA,NA
"SPO0503",0.76,0.65,0.81,0.72
"SPO0504",1.03,1.03,1.05,1.04
"SPO0504a",1.01,1,1.02,1.03
"SPO0505",NA,NA,NA,NA
"SPO0506",NA,NA,NA,NA
"SPO0507",1.05,1.21,1.04,1.06
"SPO0508",1.01,0.98,1.02,0.97
"SPO0511",NA,NA,NA,NA
"SPO0512",0,0.89,NA,0.49
"SPO0513",0.92,1.15,1.07,0.93
"SPO0514",1.13,1.02,1.04,1.01
"SPO0515",1.02,1,0.97,1.02
"SPO0516",0.74,0.73,0.62,0.8
"SPO0517",0.97,1.01,0.91,0.97
"SPO0518",NA,NA,NA,NA
"SPO0519",NA,NA,NA,NA
"SPO0520",0.98,1.03,1.06,0.99
"SPO0521",0.96,0.97,1.01,1.02
"SPO0522",1,0.97,0.96,1.01
"SPO0523",1.02,0.79,0.91,1
"SPO0524",0.92,1,1,0.98
"SPO0525",1.09,1.06,1.01,1.01
"SPO0526",NA,0,NA,NA
"SPO0527",1.02,1.04,1.02,0.92
"SPO0528",0.96,0.96,1.01,0.98
"SPO0529",0.88,1,1.1,0.98
"SPO0530",NA,NA,NA,NA
"SPO0531",NA,NA,NA,NA
"SPO0532",NA,0,NA,NA
"SPO0533",0.98,0.83,0.89,0.93
"SPO0534",1.06,1.01,0.99,1.04
"SPO0535",1.04,1.03,0.93,0.98
"SPO0536",1.19,1.27,1.16,1.17
"SPO0537",NA,NA,NA,NA
"SPO0538",NA,NA,NA,NA
"SPO0539",0.96,1.02,1.03,1
"SPO0540",1,1,1,0.93
"SPO0541",0.95,1,0.92,0.95
"SPO0543",0.97,1.06,1.01,0.9
"SPO0544",0.99,1.01,0.96,0.95
"SPO0545",0.92,0.98,0.92,0.96
"SPO0546",0.91,0.87,0.98,0.93
"SPO0547",0.86,0.96,1.07,0.81
"SPO0548",0.95,0.95,0.93,1
"SPO0549",0.97,0.87,1.13,1.01
"SPO0550",0,0.83,0.88,1
"SPO0551",0.92,0.97,1.04,0.88
"SPO0552",0,1.37,1.22,0.87
"SPO0553",0.82,1.01,0.9,0.95
"SPO0554",0.98,0.99,1.04,1.03
"SPO0555",0.94,1.01,1,0.94
"SPO0556",1.06,0.96,1.03,1.06
"SPO0557",0.98,1.01,1.02,0.99
"SPO0558",0.94,1.04,0.98,0.96
"SPO0559",0.97,1.09,1.01,1.01
"SPO0560",1,0.98,1,1
"SPO0561",0.94,1.01,0.99,0.86
"SPO0562",1.19,0.94,1.02,0.83
"SPO0563",0.85,1.01,0.96,1.02
"SPO0564",1.02,0.93,1.01,0.91
"SPO0565",0.97,1.02,0.85,0.88
"SPO0566",0.87,0.94,0.83,0.83
"SPO0567",0.82,1.38,1.16,0.98
"SPO0568",1.01,1.05,1.05,1.05
"SPO0569",1.02,1.05,0.9,0.86
"SPO0570",1.11,0.9,0.91,0.99
"SPO0571",1.08,1.06,0.91,0.85
"SPO0572",1.04,0.93,1.02,1.04
"SPO0573",0.86,0.81,0.88,0.72
"SPO0574",0.95,0.98,1.02,0.99
"SPO0575",0.99,0.91,1.05,0.94
"SPO0576",1.04,1.04,1.1,0.98
"SPO0577",0.96,0.8,0.86,0.97
"SPO0578",0.94,0.85,0.83,0.86
"SPO0579",0.69,0.91,0.82,0.9
"SPO0580",1.23,0.91,1,0.96
"SPO0581",0.89,1.01,0.97,0.91
"SPO0582",1.03,0.94,1.09,1.03
"SPO0583",1.19,0.99,1.02,1.02
"SPO0584",1.02,1.03,1.03,1.06
"SPO0585",1.07,1.07,1.01,1.03
"SPO0586",1,1.04,1,1.05
"SPO0587",1.15,1,1.01,1
"SPO0588",1.26,0.89,1.18,0.78
"SPO0589",0.89,0.96,0.95,0.94
"SPO0590",0.89,0.81,0.71,0.67
"SPO0591",0.98,1.07,1,0.93
"SPO0592",0.66,0.82,1.05,0.97
"SPO0593",0.95,1.17,0.86,0.96
"SPO0594",0.91,0.9,0.91,0.67
"SPO0595",0.9,0.9,0.79,0.91
"SPO0596",1.02,0.78,0.73,1.04
"SPO0597",1,1.09,1.02,1.01
"SPO0598",0.97,0.94,0.85,1
"SPO0599",1.12,1,1.04,0.86
"SPO0600",0.97,0.92,0.95,1.05
"SPO0601",0.96,1.06,1.01,1
"SPO0602",0.98,1.03,0.99,0.99
"SPO0604",0.86,0,0.82,NA
"SPO0605",0.94,0.94,1.02,1.02
"SPO0606",1.04,0.83,0.97,0.98
"SPO0607",1.06,1.11,0.99,0.9
"SPO0608",0.93,0.93,0.97,0.98
"SPO0609",0.9,1.04,1.03,0.99
"SPO0610",0.86,0.99,0.99,0.89
"SPO0611",0.9,0.94,0.98,1
"SPO0612",0.89,0.87,0.94,0.99
"SPO0613",1.16,0.92,1.03,0.96
"SPO0614",1.2,0.83,0.7,1.16
"SPO0615",1.05,1.03,1.03,0.94
"SPO0616",0.92,1,0.99,1.05
"SPO0618",0.96,0.9,1.01,0.97
"SPO0619",0.89,0.91,0.9,0.96
"SPO0620",0.89,0.78,1.05,0.82
"SPO0621",1,0.93,0.94,0.97
"SPO0622",0.97,0.94,0.92,0.96
"SPO0623",0.95,0.94,0.95,0.95
"SPO0624",0.97,0.95,0.91,0.97
"SPO0628",0.99,0.96,0.98,0.97
"SPO0628a",1.01,1.04,1.06,1.05
"SPO0629",0.96,1.04,1.06,1
"SPO0632",1.05,1.04,1.06,1.05
"SPO0633",1.02,0.95,1.03,1
"SPO0634",1.12,0.88,0.97,0.84
"SPO0635",1.04,1.04,1.03,1.03
"SPO0636",0.89,0.9,1.15,0.71
"SPO0637",NA,NA,NA,NA
"SPO0638",1.04,1.02,0.96,0.88
"SPO0639",1.15,1.07,1.03,0.83
"SPO0641",1,1.04,1,1.04
"SPO0642",1.12,1.15,0.97,0.94
"SPO0643",1.02,0.94,1,0.94
"SPO0644",0.9,1.02,0.93,1.1
"SPO0645",1,1.03,0.97,1.05
"SPO0646",NA,NA,NA,NA
"SPO0647",0,1.06,1.22,1.08
"SPO0648",1.06,1.05,0.95,0.95
"SPO0649",1.01,0.97,1.01,1.02
"SPO0650",0.99,0.99,0.94,1.02
"SPO0651",1.03,1.04,1.02,0.99
"SPO0652",0.77,NA,0.87,0.92
"SPO0653",1.01,0.99,0.99,0.96
"SPO0654",1.11,0.98,0.98,1.03
"SPO0655",0.92,1,1.1,0.99
"SPO0656",NA,NA,NA,NA
"SPO0657",0.99,1.06,0.93,0.94
"SPO0658",0.93,0.89,0.94,0.91
"SPO0659",0.74,0.93,0.83,1
"SPO0660",0.91,0.99,0.96,0.93
"SPO0661",0.83,0.85,1.05,0.88
"SPO0662",1.02,1.07,0.82,0.94
"SPO0663",0.88,0.86,0.94,0.94
"SPO0664",1.02,0.93,0.98,0.98
