"spo","meanW","semW"
"SPO0366",1.005,0.005
"SPO0367",0.949,0.008
"SPO0368",1.009,0.013
"SPO0369",1.015,0.006
"SPO0370",1.032,0.012
"SPO0371",0.917,0.017
"SPO0372",1.013,0.026
"SPO0373",1.041,0.027
"SPO0374",0.835,0.05
"SPO0375",0.872,0.022
"SPO0376",1.045,0.018
"SPO0377",1.033,0.013
"SPO0378",1.027,0.024
"SPO0379",0.996,0.047
"SPO0380",0.895,0.047
"SPO0383",0.947,0.035
"SPO0384",0.975,0.022
"SPO0385",0.98,0.019
"SPO0386",0.821,0.026
"SPO0387",1.052,0.025
"SPO0388",1.029,0.008
"SPO0389",0.879,0.076
"SPO0390",1.046,0.011
"SPO0391",1.059,0.027
"SPO0393",0.973,0.03
"SPO0394",0.887,0.045
"SPO0395",0.957,0.038
"SPO0396",0.916,NA
"SPO0397",0,0
"SPO0398",0.978,0.062
"SPO0399",0.846,0.065
"SPO0400",1.035,0.021
"SPO0401",0.678,0.026
"SPO0402",0.997,0.02
"SPO0403",1.005,0.015
"SPO0405",0.907,0.17
"SPO0406",1.057,0.025
"SPO0407",0.942,0.028
"SPO0409",0.906,0.076
"SPO0410",0.807,0.014
"SPO0411",0.986,0.049
"SPO0412",0.935,0.105
"SPO0413",1.015,0.017
"SPO0414",1.017,0.014
"SPO0415",1.003,0.02
"SPO0417",1.136,0.055
"SPO0419",1.225,NA
"SPO0421",0.887,0.09
"SPO0422",0.567,0.052
"SPO0423",0.981,0.082
"SPO0424",1.007,0.033
"SPO0425",0.996,0.015
"SPO0427",1.025,0.013
"SPO0428",0.98,0.01
"SPO0429",0.982,0.043
"SPO0431",0.952,0.042
"SPO0432",0.974,0.039
"SPO0433",0.989,0.013
"SPO0434",0.995,0.054
"SPO0435",0.991,0.033
"SPO0436",0.992,0.027
"SPO0437",1.023,0.016
"SPO0438",1.018,0.006
"SPO0439",0.901,0.046
"SPO0440",0.921,0.026
"SPO0441",0.941,0.099
"SPO0442",0.85,0.189
"SPO0443",1.073,0.07
"SPO0444",1.038,0.055
"SPO0445",0.948,0.014
"SPO0446",0.931,0.013
"SPO0447",0.915,0.024
"SPO0448",0.948,0.079
"SPO0450",1.02,0.042
"SPO0451",0.947,0.016
"SPO0452",0.978,0.018
"SPO0453",0.91,0.033
"SPO0454",0.994,0.009
"SPO0456",0.958,0.039
"SPO0457",0.988,0.029
"SPO0458",0.988,0.021
"SPO0460",0.933,0.016
"SPO0461",1.005,0.043
"SPO0462",0.919,0.045
"SPO0463",0.939,0.035
"SPO0464",1.064,0.041
"SPO0465",0.979,0.031
"SPO0466",0.99,0.032
"SPO0467",1.005,0.046
"SPO0468",1.041,0.013
"SPO0469",0.977,0.038
"SPO0470",0.958,0.032
"SPO0471",0.915,0.028
"SPO0472",0.921,0.04
"SPO0473",0.808,0.051
"SPO0474",1.016,0.117
"SPO0476",0.978,0.044
"SPO0477",0.953,0.02
"SPO0478",1.034,0.007
"SPO0479",0.99,0.004
"SPO0481",1.063,0.02
"SPO0482",1.022,0.027
"SPO0483",0.985,0.019
"SPO0489",0.98,0.006
"SPO0490",0.966,0.031
"SPO0491",0.984,0.019
"SPO0491a",0.97,0.023
"SPO0492",1.02,0.026
"SPO0503",0.791,0.037
"SPO0504",1.032,0.005
"SPO0504a",1.019,0.007
"SPO0507",1.13,0.055
"SPO0508",1.006,0.03
"SPO0512",0.465,0.31
"SPO0513",1.009,0.047
"SPO0514",1.047,0.053
"SPO0515",0.973,0.014
"SPO0516",0.797,0.014
"SPO0517",1.013,0.014
"SPO0520",1.066,0.022
"SPO0521",1.063,0.017
"SPO0522",1.037,0.028
"SPO0523",0.982,0.041
"SPO0524",1.01,0.023
"SPO0525",1,0.03
"SPO0526",0.452,0.452
"SPO0527",1.001,0.041
"SPO0528",0.96,0.035
"SPO0529",1.045,0.06
"SPO0532",0,NA
"SPO0533",0.988,0.018
"SPO0534",1.038,0.038
"SPO0535",0.963,0.021
"SPO0536",1.14,0.03
"SPO0539",1.048,0.017
"SPO0540",0.992,0.025
"SPO0541",0.952,0.021
"SPO0543",1.042,0.026
"SPO0544",0.978,0.032
"SPO0545",0.992,0.018
"SPO0546",0.949,0.037
"SPO0547",1.002,0.06
"SPO0548",0.989,0.026
"SPO0549",1.034,0.07
"SPO0550",1.024,0.169
"SPO0551",0.99,0.05
"SPO0552",1.018,0.077
"SPO0553",0.978,0.043
"SPO0554",1.066,0.019
"SPO0555",1.031,0.035
"SPO0556",1.025,0.007
"SPO0557",1.024,0.012
"SPO0558",0.971,0.037
"SPO0559",1.046,0.023
"SPO0560",1.02,0.011
"SPO0561",0.958,0.034
"SPO0562",0.961,0.02
"SPO0563",0.774,0.079
"SPO0564",0.924,0.024
"SPO0565",0.866,0.079
"SPO0566",0.824,0.066
"SPO0567",0.832,0.116
"SPO0568",1.029,0.02
"SPO0569",0.958,0.045
"SPO0570",0.946,0.052
"SPO0571",1.019,0.043
"SPO0572",0.953,0.012
"SPO0573",0.903,0.022
"SPO0574",1,0.01
"SPO0575",0.981,0.058
"SPO0576",1.081,0.03
"SPO0577",0.894,0.037
"SPO0578",0.857,0.046
"SPO0579",0.868,0.055
"SPO0580",1.08,0.073
"SPO0581",0.95,0.043
"SPO0582",0.986,0.038
"SPO0583",1.027,0.047
"SPO0584",1.044,0.016
"SPO0585",1.044,0.032
"SPO0586",0.968,0.023
"SPO0587",1.009,0.042
"SPO0588",0.864,0.217
"SPO0589",0.945,0.024
"SPO0590",0.924,0.034
"SPO0591",1.012,0.008
"SPO0592",0.843,0.099
"SPO0593",0.862,0.046
"SPO0594",0.919,0.041
"SPO0595",0.846,0.034
"SPO0596",0.795,0.102
"SPO0597",1.028,0.046
"SPO0598",0.976,0.036
"SPO0599",0.992,0.042
"SPO0600",0.947,0.025
"SPO0601",1.032,0.007
"SPO0602",1.001,0.01
"SPO0604",0,0
"SPO0605",1.006,0.009
"SPO0606",0.919,0.082
"SPO0607",0.849,0.099
"SPO0608",0.944,0.016
"SPO0609",1.011,0.041
"SPO0610",0.974,0.059
"SPO0611",0.934,0.012
"SPO0612",0.873,0.087
"SPO0613",1.076,0.081
"SPO0614",1.021,0.064
"SPO0615",1.033,0.026
"SPO0616",1.076,0.038
"SPO0618",1.016,0.013
"SPO0619",0.99,0.029
"SPO0620",0.906,0.062
"SPO0621",0.948,0.021
"SPO0622",0.963,0.012
"SPO0623",0.954,0.005
"SPO0624",0.963,0.007
"SPO0628",0.977,0.027
"SPO0628a",1.017,0.013
"SPO0629",1.06,0.017
"SPO0632",1.063,0.037
"SPO0633",1.005,0.018
"SPO0634",0.95,0.071
"SPO0635",1.015,0.008
"SPO0636",0.932,0.148
"SPO0638",0.979,0.09
"SPO0639",1.03,0.037
"SPO0641",0.997,0.048
"SPO0642",1.077,0.017
"SPO0643",0.999,0.038
"SPO0644",0.992,0.078
"SPO0645",1.001,0.033
"SPO0647",0.997,0.044
"SPO0648",1.006,0.037
"SPO0649",0.977,0.045
"SPO0650",0.965,0.026
"SPO0651",0.996,0.019
"SPO0652",0.987,0.214
"SPO0653",0.993,0.036
"SPO0654",1.005,0.014
"SPO0655",0.896,0.064
"SPO0657",0.923,0.047
"SPO0658",0.951,0.025
"SPO0659",0.947,0.049
"SPO0660",0.974,0.027
"SPO0661",0.874,0.063
"SPO0662",0.896,0.064
"SPO0663",0.881,0.014
"SPO0664",1.061,0.017
"SPO0665",0.984,0.039
"SPO0666",0.95,0.031
"SPO0668",0,NA
"SPO0670",0.97,0.045
"SPO0671",0.867,0.073
"SPO0672",0.868,0.082
"SPO0673",0.909,0.013
"SPO0674",0.974,0.034
"SPO0675",0.931,0.076
"SPO0676",0.547,0.313
"SPO0677",0.967,0.039
"SPO0678",0.976,0.024
"SPO0679",0.953,0.042
"SPO0680",1.054,0.025
"SPO0681",1.085,0.115
"SPO0682",1.063,0.036
"SPO0683",1.026,0.038
"SPO0684",0.959,0.075
"SPO0685",1.024,0.011
"SPO0686",0.999,0.026
"SPO0687",1.034,0.02
"SPO0688",1.009,0.03
"SPO0689",1.125,0.191
"SPO0690",0.922,0.042
"SPO0691",0.844,0.125
"SPO0692",1.002,0.03
"SPO0693",0.967,0.014
"SPO0694",0.947,0.014
"SPO0695",1.061,0.014
"SPO0697",0.93,0.108
"SPO0698",0.815,0.112
"SPO0699",0.834,0.13
"SPO0700",1.016,0.037
"SPO0701",1.052,0.012
"SPO0702",0.994,0.023
"SPO0703",0.959,0.037
"SPO0704",0.997,0.036
"SPO0705",1.051,0.06
"SPO0706",1.021,0.011
"SPO0707",0.877,0.061
"SPO0708",0.95,0.056
"SPO0710",0.977,0.015
"SPO0711",1.028,0.032
"SPO0712",0.966,0.016
"SPO0713",0.958,0.029
"SPO0714",0,0
"SPO0715",0.692,0.234
"SPO0716",0.994,0.034
"SPO0717",1.002,0.024
"SPO0718",0.966,0.085
"SPO0721",1.334,0.266
"SPO0722",1.207,0.117
"SPO0723",1.153,0.064
"SPO0724",0.929,0.063
"SPO0725",0.985,0.045
"SPO0727",0.766,0.257
"SPO0728",0.984,0.015
"SPO0729",0.582,0.582
"SPO0732",0.609,NA
"SPO0733",0.978,0.038
"SPO0734",1.008,0.084
"SPO0735",1.036,0.015
"SPO0736",0.955,0.032
"SPO0737",0.78,0.265
"SPO0738",1.006,0.047
"SPO0739",0.954,0.023
"SPO0740",0.979,0.032
"SPO0741",0.93,0.066
"SPO0742",1.033,0.017
"SPO0743",0.864,0.034
"SPO0744",0.982,0.026
"SPO0745",0.95,0.023
"SPO0746",0.963,0.045
"SPO0747",0.985,0.016
"SPO0748",0.943,0.075
"SPO0749",0.974,0.039
"SPO0750",0.96,0.04
"SPO0751",0.97,0.021
"SPO0752",0.961,0.051
"SPO0753",1.029,0.055
"SPO0754",1.009,0.021
"SPO0755",1.053,0.003
"SPO0756",1.014,0.081
"SPO0757",1.035,0.012
"SPO0758",1.059,0.015
"SPO0759",1.021,0.037
"SPO0760",0.712,0.114
"SPO0761",0.916,0.071
"SPO0762",1.022,0.087
"SPO0763",0.971,0.036
"SPO0764",0.896,0.088
"SPO0765",0.949,0.02
"SPO0766",0.732,0.138
"SPO0767",0.661,0.331
"SPO0768",0.82,0.066
"SPO0769",0.991,0.012
"SPO0770",0.692,0.15
"SPO0771",0.992,0.017
"SPO0772",1.002,0.043
"SPO0773",1.108,0.06
"SPO0774",0.994,0.056
"SPO0775",1.027,0.026
"SPO0776",0.89,0.124
"SPO0777",1,0.087
"SPO0778",0.885,0.044
"SPO0779",0.176,0.122
"SPO0780",0.951,0.041
"SPO0782",0.928,0.054
"SPO0783",0.868,0.067
"SPO0784",0.986,0.067
"SPO0785",0.845,0.061
"SPO0786",0.985,0.048
"SPO0787",0.794,0.076
"SPO0788",0.798,0.113
"SPO0789",1.13,0.07
"SPO0790",0.775,0.279
"SPO0791",1.014,0.023
"SPO0792",0.971,0.084
"SPO0793",0.981,0.058
"SPO0794",0.955,0.033
"SPO0795",0.821,0.274
"SPO0796",0.993,0.045
"SPO0797",0.973,0.018
"SPO0798",0.988,0.019
"SPO0799",0.694,0.251
"SPO0800",0.938,0.008
"SPO0801",0.941,0.021
"SPO0802",1.734,NA
"SPO0803",0.696,0.388
"SPO0806",0,0
"SPO0807",0.91,0.036
"SPO0808",0.145,0.145
"SPO0809",1.012,0.076
"SPO0810",0.996,0.025
"SPO0811",1.182,0.103
"SPO0812",0,NA
"SPO0813",0.974,0.017
"SPO0814",1.008,0.028
"SPO0816",0.942,0.043
"SPO0817",0.99,0.024
"SPO0818",0.939,0.033
"SPO0819",0.757,0.033
"SPO0820",0.996,0.007
"SPO0821",0.956,0.041
"SPO0822",0.992,0.036
"SPO0823",0.973,0.103
"SPO0824",0.935,0.03
"SPO0825",0.886,0.055
"SPO0826",0.922,0.063
"SPO0827",0.894,0.027
"SPO0828",0.96,0.023
"SPO0829",1,0.043
"SPO0830",0.899,0.017
"SPO0831",0.997,0.075
"SPO0832",0.864,0.068
"SPO0833",1.065,0.008
"SPO0834",0.981,0.033
"SPO0835",1.1,0.054
"SPO0836",1.077,0.036
"SPO0837",0.92,0.011
"SPO0839",0.99,0.051
"SPO0840",0.943,0.034
"SPO0841",0.974,0.031
"SPO0842",1.014,0.023
"SPO0844",0.989,0.023
"SPO0845",0.886,0.037
"SPO0847",0.916,0.023
"SPO0848",0.887,0.084
"SPO0849",0.952,0.026
"SPO0850",0.943,0.032
"SPO0851",0.797,0.111
"SPO0852",0.969,0.053
"SPO0853",0.968,0.123
"SPO0854",0.9,0.094
"SPO0855",0.985,0.021
"SPO0856",0.951,0.023
"SPO0857",0.974,0.026
"SPO0858",1.018,0.086
"SPO0859",1.121,0.092
"SPO0860",0.901,0.096
"SPO0861",0.942,0.034
"SPO0862",0.89,0.055
"SPO0863",1.123,0.231
"SPO0864",1.044,0.056
"SPO0865",1.033,0.034
"SPO0866",0.93,0.055
"SPO0867",1.031,0.021
"SPO0868",0.951,0.02
"SPO0869",0.94,0.044
"SPO0870",0.968,0.045
"SPO0872",0.924,0.036
"SPO0873",0.845,0.05
"SPO0874",0.977,0.058
"SPO0875",0.829,0.018
"SPO0876a",0.933,0.031
"SPO0877",0.955,0.034
"SPO0878",0.959,0.06
"SPO0879",0.903,0.042
"SPO0880",0.983,0.068
"SPO0881",0.924,0.037
"SPO0882",0.991,0.089
"SPO0883",1.017,0.031
"SPO0884",1.026,0.01
"SPO0885",1.162,0.068
"SPO0887",0.419,0.419
"SPO0888",1.022,0.068
"SPO0889",0.969,0.037
"SPO0890",1.016,0.14
"SPO0891",1.027,0.038
"SPO0892",0.352,0.042
"SPO0893",0,0
"SPO0894",0.993,0.065
"SPO0895",0.904,0.061
"SPO0897",1.053,0.032
"SPO0898",1.075,0.019
"SPO0899",1.001,0.022
"SPO0900",0.275,0.168
"SPO0901",0.963,0.039
"SPO0902",0.927,0.073
"SPO0903",0.481,0.481
"SPO0904",0.687,0.025
"SPO0905",0.876,0.041
"SPO0906",1.009,0.024
"SPO0907",0,NA
"SPO0910",1.017,0.02
"SPO0911",0.344,0.143
"SPO0912",0.755,0.265
"SPO0913",1.011,0.028
"SPO0914",1.063,0.042
"SPO0915",1.006,0.047
"SPO0916",0.926,0.033
"SPO0917",0.986,0.165
"SPO0918",1.008,0.019
"SPO0919",1.127,0.069
"SPO0920",0.855,0.085
"SPO0921",1.015,0.022
"SPO0922",0.979,0.016
"SPO0923",0.88,NA
"SPO0925",0.907,0.057
"SPO0927",0.941,0.024
"SPO0928",1.077,0.051
"SPO0929",1.092,0.09
"SPO0930",0.499,0.221
"SPO0931",0.901,0.329
"SPO0932",0.344,0.2
"SPO0933",0.812,0.123
"SPO0934",0.988,0.031
"SPO0935",0.982,0.032
"SPO0936",0.948,0.02
"SPO0937",0.968,0.039
"SPO0939",1.092,0.089
"SPO0940",0.541,0.541
"SPO0941",1.226,0.113
"SPO0942",1.081,0.019
"SPO0943",1.043,0.081
"SPO0944",1.031,0.022
"SPO0945",1.032,0.024
"SPO0946",0.793,0.068
"SPO0948",0.968,0.049
"SPO0949",1.005,0.025
"SPO0950",1.005,0.057
"SPO0951",1.028,0.074
"SPO0952",0.935,0.113
"SPO0953",0.957,0.047
"SPO0954",0.85,0.131
"SPO0955",1.013,0.022
"SPO0957",1.117,0.066
"SPO0958",0.912,0.048
"SPO0959",0.972,0.024
"SPO0960",1.241,0.213
"SPO0962",0.115,0.115
"SPO0964",0.956,0.029
"SPO0965",0.932,0.047
"SPO0966",0.983,0.029
"SPO0967",1.016,0.031
"SPO0968",1.093,0.027
"SPO0970",0.905,0.054
"SPO0971",0.946,0.016
"SPO0972",0.897,0.018
"SPO0973",0.627,0.338
"SPO0974",0.976,0.019
"SPO0975",0.973,0.039
"SPO0976",0.922,0.05
"SPO0977",0.972,0.017
"SPO0978",0.95,0.045
"SPO0980",1.136,0.068
"SPO0981",0.971,0.091
"SPO0982",0.968,0.109
"SPO0983",0.962,0.026
"SPO0984",0.952,0.067
"SPO0985",0.895,0.033
"SPO0986",1.042,0.043
"SPO0987",0.924,0.03
"SPO0988",0.892,0.037
"SPO0989",1.004,0.042
"SPO0990",0.938,0.05
"SPO0991",0.967,0.044
"SPO0992",1.058,0.064
"SPO0993",0.791,0.038
"SPO0995",0.649,0.233
"SPO0996",0.966,0.029
"SPO0997",1.03,0.039
"SPO0998",0.948,0.024
"SPO0999",0.977,0.017
"SPO1000",0.803,0.097
"SPO1001",0.881,0.054
"SPO1002",0.967,0.058
"SPO1003",0.124,0.124
"SPO1004",0.145,0.145
"SPO1005",1.003,0.037
"SPO1006",1,0.021
"SPO1007",1.089,0.019
"SPO1008",1.163,0.053
"SPO1009",0.928,0.03
"SPO1012",0.983,0.092
"SPO1013",0.948,0.122
"SPO1014",0.9,0.075
"SPO1015",1.02,0.068
"SPO1016",0.946,0.051
"SPO1017",0.955,0.15
"SPO1018",1.021,0.064
"SPO1019",0.944,NA
"SPO1020",0.98,0.053
"SPO1021",0.884,0.049
"SPO1022",1.066,0.047
"SPO1024",0.918,0.049
"SPO1025",0.946,0.038
"SPO1026",1.041,0.018
"SPO1027",1.043,0.046
"SPO1028",1.098,0.091
"SPO1029",0.935,0.07
"SPO1030",0.935,0.024
"SPO1031",0.767,0.258
"SPO1032",0.927,0.067
"SPO1033",0,0
"SPO1034",1.034,0.039
"SPO1036",1.013,0.021
"SPO1037",0.96,0.024
"SPO1038",0.958,0.015
"SPO1039",0.919,0.055
"SPO1040",1.04,0.08
"SPO1041",0.922,0.098
"SPO1042",0.977,0.047
"SPO1043",0.826,0.151
"SPO1044",0.898,0.075
"SPO1044a",1.029,0.038
"SPO1045",1.013,0.006
"SPO1046",0.983,0.011
"SPO1047",0.997,0.005
"SPO1048",0.961,0.015
"SPO1050",1.035,0.036
"SPO1051",0.88,0.056
"SPO1052",0.85,0.059
"SPO1053",1.083,0.028
"SPO1054",0.606,0.288
"SPO1055",1.068,0.011
"SPO1056",0.962,0.061
"SPO1057",0.978,0.036
"SPO1058",1.051,0.041
"SPO1059",0.981,0.026
"SPO1060",0.952,0.014
